Date,Open,High,Low,Close,Volume
2016-09-26,135.0,135.0,131.0,132.5,156000
2016-09-27,132.5,132.5,132.5,132.5,0
2016-09-28,132.5,132.5,132.5,132.5,0
2016-09-29,133.0,133.5,131.5,132.0,94000
2016-09-30,131.5,132.5,129.5,131.0,109000
2016-10-03,131.0,133.0,125.5,131.0,170000
2016-10-04,132.0,133.5,131.0,131.5,153000
2016-10-05,132.0,133.0,128.5,128.5,103000
2016-10-06,130.0,131.5,128.0,128.0,115000
2016-10-07,128.0,129.0,126.0,126.0,110000
2016-10-11,126.0,126.0,119.0,122.5,175000
2016-10-12,122.0,122.0,118.5,119.0,123000
2016-10-13,119.0,121.0,119.0,119.0,81000
2016-10-14,121.0,121.0,117.0,117.0,81000
2016-10-17,117.0,119.0,115.0,117.0,109000
2016-10-18,117.0,123.0,116.0,122.5,203000
2016-10-19,123.5,125.0,121.0,121.0,116000
2016-10-20,123.0,123.0,121.0,121.5,29000
2016-10-21,120.5,121.0,118.0,119.0,51000
2016-10-24,119.0,123.0,119.0,120.5,65000
2016-10-25,120.5,121.5,119.0,119.0,34000
2016-10-26,119.0,120.0,118.0,118.5,30000
2016-10-27,120.0,123.0,119.5,119.5,90000
2016-10-28,119.5,120.0,119.0,119.5,42000
2016-10-31,118.0,120.5,116.5,120.5,51000
2016-11-01,120.5,120.5,119.0,119.0,35000
2016-11-02,116.0,118.0,114.0,114.0,94000
2016-11-03,114.0,115.5,107.5,108.0,118000
2016-11-04,108.0,112.5,108.0,111.5,135000
2016-11-07,111.5,116.5,111.5,116.5,105000
2016-11-08,116.5,116.5,113.0,113.5,49000
2016-11-09,114.0,116.0,108.0,109.5,77000
2016-11-10,113.0,114.5,112.0,113.5,44000
2016-11-11,113.5,113.5,110.5,111.5,24000
2016-11-14,112.0,113.0,109.0,113.0,38000
2016-11-15,113.0,114.5,112.0,113.0,35000
2016-11-16,113.5,113.5,110.0,111.5,51000
2016-11-17,110.0,111.5,109.5,111.0,37000
2016-11-18,112.5,113.0,111.0,112.5,41000
2016-11-21,111.5,114.0,111.5,112.5,38000
2016-11-22,114.0,114.5,112.5,112.5,28000
2016-11-23,114.0,118.0,114.0,116.5,222000
