Date,Open,High,Low,Close,Volume
2016-09-26,14.6875,14.75,14.5,14.5,27770400
2016-09-27,14.5,14.5,14.5,14.5,0
2016-09-28,14.5,14.5,14.5,14.5,0
2016-09-29,14.6875,14.75,14.375,14.5625,38836000
2016-09-30,14.375,14.4375,14.25,14.3125,27679200
2016-10-03,14.5625,15.25,14.5,15.1875,120492000
2016-10-04,15.0625,15.1875,15.0,15.1875,40354400
2016-10-05,15.125,15.375,15.0,15.3125,38065600
2016-10-06,15.5,15.5625,15.3125,15.375,43296800
2016-10-07,15.375,15.375,15.0,15.0,40778400
2016-10-11,15.1875,15.25,14.4375,14.5625,64458400
2016-10-12,14.5,14.75,14.3125,14.625,46939200
2016-10-13,14.6875,14.75,14.5,14.75,42276000
2016-10-14,14.75,14.75,14.4375,14.5,39224800
2016-10-17,14.5,14.625,14.375,14.5,31326400
2016-10-18,14.625,14.6875,14.5,14.6875,26248000
2016-10-19,14.6875,15.0625,14.6875,14.9375,47128000
2016-10-20,15.0,15.0625,14.875,15.0,28412800
2016-10-21,15.125,15.75,15.125,15.5625,136595200
2016-10-24,15.8125,16.125,15.8125,16.0,90424800
2016-10-25,16.25,16.4375,16.125,16.25,99324000
2016-10-26,16.125,16.375,16.125,16.375,44737600
2016-10-27,16.5,16.5625,16.0,16.0625,59757600
2016-10-28,16.1875,16.1875,15.4375,15.4375,114062400
2016-10-31,15.25,15.3125,14.9375,15.0,99447200
2016-11-01,15.125,15.4375,15.0625,15.3125,52875200
2016-11-02,15.0625,15.25,15.0,15.125,47549600
2016-11-03,15.0,15.25,14.9375,14.9375,39462400
2016-11-04,15.0,15.1875,14.875,15.0,41197600
2016-11-07,15.0625,15.1875,14.9375,15.0,27344000
2016-11-08,15.25,15.4375,15.1875,15.3125,39261600
2016-11-09,15.3125,15.375,14.375,14.375,93199200
2016-11-10,14.8125,15.125,14.75,14.75,57479200
2016-11-11,14.4375,14.5,14.1875,14.3125,56653600
2016-11-14,14.1875,14.3125,14.0625,14.1875,33147200
2016-11-15,14.1875,14.5,14.1875,14.25,48018400
2016-11-16,14.5,14.5625,14.25,14.25,37035200
2016-11-17,14.375,14.625,14.3125,14.5625,49384800
2016-11-18,14.5625,14.6875,14.375,14.5625,35456800
2016-11-21,14.5625,14.8125,14.5625,14.6875,40027200
2016-11-22,14.6875,14.8125,14.5625,14.6875,42465600
2016-11-23,14.6875,14.8125,14.5625,14.5625,24125600
2016-11-24,14.5625,14.625,14.375,14.4375,23004000
2016-11-25,14.4375,14.5625,14.375,14.5625,16584000
2016-11-28,14.625,14.625,14.375,14.375,26482400
2016-11-29,14.375,14.5625,14.3125,14.4375,25865600
2016-11-30,14.4375,14.5625,14.3125,14.3125,37271200
2016-12-01,14.4375,14.5625,14.3125,14.3125,32034400
2016-12-02,14.25,14.25,14.125,14.1875,31594400
2016-12-05,14.1875,14.5,14.1875,14.4375,25172800
2016-12-06,14.4375,14.5,14.3125,14.375,21647200
2016-12-07,14.4375,14.75,14.375,14.75,45026400
2016-12-08,14.9375,15.0625,14.875,15.0,74994400
2016-12-09,14.9375,15.0,14.75,14.875,27224000
2016-12-12,14.8125,14.9375,14.625,14.6875,23121600
2016-12-13,14.625,14.9375,14.625,14.6875,49480800
2016-12-14,14.75,14.875,14.625,14.625,21516800
2016-12-15,14.625,14.875,14.5625,14.875,27874400
2016-12-16,14.9375,15.0,14.8125,14.875,35112800
2016-12-19,14.875,14.875,14.625,14.6875,19109600
2016-12-20,14.75,14.9375,14.75,14.8125,29256800
2016-12-21,14.9375,15.25,14.9375,15.125,83062400
2016-12-22,15.1875,15.25,15.0625,15.0625,32825600
2016-12-23,15.1875,15.375,15.0,15.0,36657600
2016-12-26,15.125,15.125,14.875,14.875,13539200
2016-12-27,14.9375,15.0,14.75,14.8125,14523200
2016-12-28,14.8125,14.9375,14.75,14.875,23015200
2016-12-29,14.8125,14.875,14.6875,14.6875,19651200
2016-12-30,14.75,14.8125,14.625,14.75,20088800
2017-01-03,14.75,15.125,14.6875,15.0,43867200
2017-01-04,15.0625,15.125,14.875,14.9375,34605600
2017-01-05,14.9375,15.3125,14.8125,15.3125,82163200
2017-01-06,15.5,15.75,15.5,15.6875,87432800
2017-01-09,16.0625,16.375,15.875,16.0625,98925600
2017-01-10,16.125,16.25,15.875,16.0,56559200
2017-01-11,16.125,16.1875,15.875,16.0,40927200
2017-01-12,16.0,16.3125,16.0,16.125,64515200
2017-01-13,16.125,16.375,16.0625,16.3125,66642400
2017-01-16,16.25,16.375,16.0,16.0625,48581600
2017-01-17,16.0625,16.125,16.0,16.0625,18868800
2017-01-18,16.0625,16.375,16.0,16.1875,56344000
2017-01-19,16.1875,16.25,16.0625,16.0625,34198400
2017-01-20,16.0625,16.125,15.9375,16.0,35042400
2017-01-23,16.125,16.125,15.875,16.0625,32144800
2017-01-24,16.0,16.125,15.9375,16.125,49110400
2017-02-02,16.375,17.0625,16.25,16.75,146094400
2017-02-03,16.8125,16.875,16.375,16.4375,60416000
2017-02-06,16.5625,16.75,16.3125,16.5,53763200
2017-02-07,16.4375,16.5,16.125,16.125,69944000
2017-02-08,16.0625,16.0625,15.4375,15.5,119335200
2017-02-09,15.4375,15.75,15.1875,15.75,85325600
2017-02-10,15.8125,15.875,15.375,15.4375,62480000
2017-02-13,15.5625,15.625,14.25,14.875,129528800
2017-02-14,14.625,15.0625,14.625,14.75,78540800
2017-02-15,14.75,15.25,14.75,15.0,131880000
2017-02-16,15.1875,15.1875,14.75,14.8125,52239200
2017-02-17,14.875,15.0,14.75,14.9375,53276000
2017-02-20,14.8125,14.9375,14.625,14.6875,46189600
2017-02-21,14.75,14.9375,14.6875,14.8125,47184000
2017-02-22,15.125,15.5,15.0625,15.25,115499200
2017-02-23,15.3125,15.375,15.125,15.25,60381600
2017-02-24,15.3125,15.3125,15.0,15.25,35615200
2017-03-01,15.1875,15.25,14.875,14.875,51505600
2017-03-02,15.0,15.125,14.9375,14.9375,41952000
2017-03-03,14.9375,15.0,14.6875,14.875,37299200
2017-03-06,14.9375,15.125,14.875,15.0625,39327200
2017-03-07,15.0625,15.125,14.9375,15.0625,39002400
2017-03-08,15.0,15.25,15.0,15.25,68659200
2017-03-09,15.375,15.375,15.0625,15.125,45264800
2017-03-10,15.0625,15.0625,14.875,14.875,45784000
2017-03-13,14.8125,14.9375,14.8125,14.8125,25473600
2017-03-14,14.9375,15.0625,14.875,14.9375,37658400
2017-03-15,15.0625,15.125,14.875,14.9375,32204000
2017-03-16,15.0625,15.1875,15.0,15.125,50171200
2017-03-17,15.1875,15.25,15.0,15.125,34966400
2017-03-20,15.125,15.1875,14.9375,15.0625,26389600
2017-03-21,15.0625,15.1875,14.9375,14.9375,41979200
2017-03-22,14.8125,14.875,14.75,14.875,49027200
2017-03-23,15.0625,15.1875,14.9375,15.0,50357600
2017-03-24,15.0,15.0625,14.875,14.875,33827200
2017-03-27,14.875,15.0,14.8125,14.9375,27598400
2017-03-28,15.0,15.0,14.625,14.75,58341600
2017-03-29,14.75,15.125,14.75,15.0625,98740800
2017-03-30,15.0,15.0625,14.875,14.875,30552000
2017-03-31,14.875,15.125,14.8125,14.8125,52523200
2017-04-05,14.875,14.9375,14.8125,14.8125,40716800
2017-04-06,14.875,15.0625,14.8125,15.0625,52884800
2017-04-07,15.1875,15.25,14.875,15.1875,82406400
2017-04-10,15.25,15.8125,15.25,15.625,178467200
2017-04-11,15.75,15.875,15.375,15.4375,93908000
2017-04-12,15.625,16.125,15.5,16.0,126726400
2017-04-13,16.125,16.5625,15.9375,16.0625,157262400
2017-04-14,16.0,16.4375,15.9375,16.0625,97559200
2017-04-17,16.625,16.6875,16.125,16.375,117303200
2017-04-18,16.5625,16.5625,16.25,16.25,65133600
2017-04-19,16.125,16.3125,15.625,15.625,126811200
2017-04-20,15.6875,15.8125,15.4375,15.5,60731200
2017-04-21,15.75,15.875,15.5,15.5625,68487200
2017-04-24,15.5625,15.625,15.125,15.3125,56503200
2017-04-25,15.375,15.875,15.3125,15.875,100784000
2017-04-26,16.0,16.0625,15.6875,15.875,48940000
2017-04-27,15.9375,16.0625,15.625,15.75,86278400
2017-04-28,16.1875,16.25,15.75,15.75,162072000
2017-05-02,15.875,15.875,15.5625,15.875,68060800
2017-05-03,15.8125,15.875,15.6875,15.6875,36109600
2017-05-04,15.75,15.875,15.625,15.75,39120800
2017-05-05,15.75,15.8125,15.5,15.5,47016800
2017-05-08,15.5625,15.625,15.125,15.1875,83191200
2017-05-09,14.5625,14.75,14.4375,14.5,137722400
2017-05-10,14.5,14.8125,14.5,14.6875,68238400
2017-05-11,14.8125,14.8125,14.3125,14.3125,94654400
2017-05-12,14.3125,14.5,14.25,14.375,41050400
2017-05-15,14.5,14.5625,14.4375,14.5,30780000
2017-05-16,14.5625,14.75,14.5,14.6875,53764000
2017-05-17,14.75,14.8125,14.5625,14.6875,47941600
2017-05-18,14.5,14.625,14.4375,14.5,33080800
2017-05-19,14.6875,15.0,14.6875,14.875,99174400
2017-05-22,14.9375,14.9375,14.6875,14.6875,43793600
2017-05-23,14.75,14.9375,14.75,14.875,34684000
2017-05-24,14.9375,15.0,14.8125,14.875,27508000
2017-05-25,14.9375,14.9375,14.8125,14.875,35172800
2017-05-26,14.875,14.875,14.6875,14.6875,47763200
2017-05-31,14.75,14.8125,14.6875,14.6875,36776800
2017-06-01,14.75,14.8125,14.6875,14.75,24803200
2017-06-02,14.8125,14.875,14.75,14.8125,23340800
2017-06-05,14.8125,15.0625,14.75,15.0,67674400
2017-06-06,15.0625,15.3125,15.0625,15.3125,86805600
2017-06-07,15.4375,15.8125,15.4375,15.6875,141998400
2017-06-08,15.8125,15.8125,15.5,15.5,70784000
2017-06-09,15.5,15.625,15.1875,15.1875,61205600
2017-06-12,15.0625,15.25,15.0,15.25,32982400
