Date,Open,High,Low,Close,Volume
2016-09-26,263.0,263.0,256.0,257.5,7658000
2016-09-27,257.5,257.5,257.5,257.5,0
2016-09-28,257.5,257.5,257.5,257.5,0
2016-09-29,257.5,261.0,256.0,259.5,6849000
2016-09-30,255.0,257.0,254.5,255.0,5072000
2016-10-03,255.0,256.5,251.0,255.5,3623000
2016-10-04,257.5,262.5,256.5,262.0,4951000
2016-10-05,260.0,261.0,256.5,257.0,3359000
2016-10-06,257.0,258.0,247.0,247.5,10466000
2016-10-07,248.0,249.5,243.5,245.0,6111000
2016-10-11,248.0,250.0,241.5,246.0,5298000
2016-10-12,246.0,251.5,246.0,250.0,4985000
2016-10-13,253.5,253.5,248.0,248.0,3753000
2016-10-14,247.0,247.0,243.0,243.5,3194000
2016-10-17,243.5,247.0,243.0,244.0,2479000
2016-10-18,245.5,247.0,241.0,247.0,3367000
2016-10-19,250.0,250.0,247.5,249.5,3840000
2016-10-20,248.0,251.0,247.5,250.5,2921000
2016-10-21,251.5,251.5,248.0,250.0,2175000
2016-10-24,247.0,247.5,243.0,246.0,3338000
2016-10-25,246.0,251.5,246.0,251.0,2721000
2016-10-26,247.0,250.0,247.0,247.5,2792000
2016-10-27,247.5,249.5,246.0,246.0,3044000
2016-10-28,246.0,249.0,245.5,246.0,2311000
2016-10-31,244.0,247.5,243.0,247.5,2668000
2016-11-01,243.0,245.0,242.5,243.5,2454000
2016-11-02,239.5,240.0,229.0,229.0,7491000
2016-11-03,227.0,231.5,225.0,225.0,5099000
2016-11-04,223.5,226.5,222.0,222.5,3950000
2016-11-07,226.0,231.5,225.5,229.5,3363000
2016-11-08,233.5,233.5,230.0,233.0,3325000
2016-11-09,235.0,236.5,221.5,221.5,7179000
2016-11-10,231.0,231.0,227.0,227.0,3648000
2016-11-11,222.0,223.0,214.5,216.5,8472000
2016-11-14,215.0,217.0,210.5,213.5,5518000
2016-11-15,211.0,217.0,211.0,214.0,3041000
2016-11-16,216.0,217.5,213.0,213.0,3061000
2016-11-17,214.5,216.0,212.5,213.5,2346000
2016-11-18,214.0,220.5,213.5,219.5,3892000
2016-11-21,221.0,224.0,219.0,223.0,2592000
2016-11-22,226.0,227.0,224.0,225.5,3509000
2016-11-23,225.0,225.5,222.0,223.0,3386000
2016-11-24,222.0,223.0,219.5,219.5,2904000
2016-11-25,220.0,223.0,220.0,222.0,1727000
