Date,Open,High,Low,Close,Volume
2022-02-07,146.5,150.5,137.0,142.5,47818
2022-02-08,140.0,144.0,140.0,142.0,16772
2022-02-09,144.5,144.5,140.0,140.5,50811
2022-02-10,141.0,154.0,140.0,154.0,49613
2022-02-11,145.5,150.5,145.5,150.0,2165
2022-02-14,150.0,150.0,143.5,146.0,18712
2022-02-15,149.0,151.0,147.5,150.0,23269
2022-02-16,151.0,162.0,149.0,158.5,111922
2022-02-17,157.5,170.5,154.5,162.0,74561
2022-02-18,164.0,164.0,158.0,163.5,34210
2022-02-21,165.0,165.0,160.0,162.0,24725
2022-02-22,160.0,163.5,160.0,163.0,9270
2022-02-23,164.0,174.0,163.0,174.0,69335
2022-02-24,176.0,177.5,168.0,173.0,55686
2022-02-25,169.5,173.0,168.5,168.5,19403
2022-03-01,168.0,173.0,164.0,167.0,28219
2022-03-02,164.0,167.0,163.0,163.0,10616
2022-03-03,167.0,167.0,163.0,165.0,15416
2022-03-04,166.0,166.0,161.5,163.5,2320
2022-03-07,165.0,165.0,155.0,155.0,14780
2022-03-08,159.0,160.0,159.0,160.0,1202
2022-03-09,160.0,160.0,160.0,160.0,303
2022-03-10,160.0,160.0,152.0,152.0,9105
2022-03-11,157.0,157.0,151.0,151.0,1451
2022-03-14,156.0,156.0,152.0,154.0,4052
2022-03-15,151.5,152.0,150.5,152.0,3102
2022-03-16,152.0,152.0,152.0,152.0,0
2022-03-17,154.5,154.5,153.5,154.5,7975
2022-03-18,155.0,155.0,155.0,155.0,1
2022-03-21,155.0,155.0,155.0,155.0,0
2022-03-22,155.0,155.0,155.0,155.0,0
2022-03-23,157.0,158.0,154.0,157.0,8984
2022-03-24,153.5,156.0,153.0,156.0,204604
2022-03-25,156.5,160.0,156.5,160.0,2001
2022-03-28,154.0,155.0,153.5,155.0,11222
2022-03-29,155.0,155.0,151.5,151.5,7622
2022-03-30,154.5,156.0,153.5,155.0,25601
2022-03-31,156.0,156.0,153.5,153.5,8023
2022-04-01,151.5,155.0,151.0,153.5,21527
2022-04-06,152.0,153.0,150.0,150.0,16221
2022-04-07,150.0,151.0,144.5,146.0,17974
2022-04-08,145.5,146.0,142.0,142.5,304571
2022-04-11,143.0,143.0,142.0,142.5,5200
2022-04-12,142.5,143.5,141.0,141.0,67538
2022-04-13,141.0,141.0,141.0,141.0,1000
2022-04-14,140.5,141.5,140.0,141.5,4170
2022-04-15,141.0,141.0,141.0,141.0,70
2022-04-18,138.0,139.5,138.0,139.5,6050
2022-04-19,136.0,137.5,135.0,136.0,12364
2022-04-20,136.0,137.0,136.0,136.0,6721
2022-04-21,134.0,135.5,133.5,135.0,6030
2022-04-22,135.5,135.5,133.0,133.0,2025
2022-04-25,133.0,133.0,128.0,129.0,21066
2022-04-26,126.0,129.0,125.0,125.0,14060
2022-04-27,124.5,124.5,122.5,124.5,5315
2022-04-28,120.0,123.0,120.0,123.0,1300
2022-04-29,120.0,124.5,120.0,124.0,21230
2022-05-03,124.0,124.0,124.0,124.0,34
2022-05-04,124.0,124.0,124.0,124.0,0
2022-05-05,120.0,124.5,120.0,123.0,4056
2022-05-06,120.5,121.0,120.0,120.5,3310
2022-05-09,120.0,120.0,119.0,120.0,5050
2022-05-10,119.5,119.5,118.5,118.5,5360
2022-05-11,118.5,118.5,114.5,115.5,2560
2022-05-12,115.5,115.5,115.5,115.5,0
2022-05-13,117.5,118.0,117.0,117.5,7080
2022-05-16,117.5,117.5,116.5,117.0,5460
2022-05-17,118.0,118.0,116.5,116.5,13051
2022-05-18,116.0,116.5,115.5,116.5,16339
2022-05-19,113.5,114.5,107.5,111.5,10162
2022-05-20,108.5,111.0,105.5,107.0,17575
2022-05-23,108.0,108.0,108.0,108.0,2000
2022-05-24,107.5,107.5,104.5,106.0,1471
2022-05-25,104.0,104.0,103.0,103.5,12620
2022-05-26,103.5,103.5,103.5,103.5,5354
2022-05-27,103.5,104.0,102.5,103.5,4365
2022-05-30,102.0,104.0,102.0,102.5,7871
2022-05-31,103.5,103.5,102.5,103.0,11730
2022-06-01,103.5,111.5,103.5,111.0,46926
2022-06-02,111.0,112.0,107.5,107.5,4462
2022-06-06,107.5,111.0,107.5,109.5,3007
2022-06-07,111.5,117.0,111.5,117.0,63861
2022-06-08,117.0,124.0,117.0,119.5,125837
2022-06-09,119.5,119.5,115.0,117.0,40845
2022-06-10,116.5,117.0,115.5,116.0,12670
2022-06-13,116.0,116.0,112.0,114.5,36400
2022-06-14,111.5,114.5,111.5,114.5,4520
2022-06-15,114.5,116.0,114.0,116.0,12055
2022-06-16,116.0,120.0,115.0,117.0,32875
2022-06-17,114.5,115.0,110.0,114.5,16152
2022-06-20,110.0,110.0,108.0,109.0,14400
2022-06-21,108.0,108.5,108.0,108.5,11280
2022-06-22,108.0,110.0,108.0,109.0,18829
2022-06-23,110.0,111.0,107.0,107.0,19400
2022-06-24,108.5,109.0,107.0,109.0,4465
2022-06-27,109.0,110.5,109.0,109.5,21100
2022-06-28,110.5,111.5,110.0,110.5,21005
2022-06-29,110.0,111.5,110.0,111.0,4300
2022-06-30,112.0,112.0,108.5,108.5,1120
2022-07-01,108.5,110.5,108.5,110.0,47500
2022-07-04,109.0,110.5,109.0,109.5,25560
2022-07-05,110.5,110.5,109.5,110.0,107228
2022-07-06,110.5,110.5,109.5,110.5,19041
2022-07-07,110.0,110.5,109.5,110.5,29050
2022-07-08,110.5,111.0,109.5,110.0,51716
2022-07-11,110.5,110.5,109.5,109.5,21185
2022-07-12,109.5,110.0,109.5,109.5,12026
2022-07-13,110.5,110.5,109.5,110.0,122130
2022-07-14,110.0,110.5,110.0,110.0,79101
2022-07-15,110.5,110.5,109.5,109.5,13644
2022-07-18,110.5,110.5,108.5,110.5,1032532
2022-07-19,110.5,120.5,110.0,117.0,188501
2022-07-20,119.5,119.5,112.5,115.5,78650
2022-07-21,114.0,116.0,114.0,115.0,91428
2022-07-22,114.0,114.5,110.0,110.0,51050
2022-07-25,110.5,112.0,110.0,112.0,12204
2022-07-26,111.0,111.0,111.0,111.0,1000
2022-07-27,114.0,115.0,112.0,114.0,24252
2022-07-28,114.0,114.0,113.0,113.5,7350
2022-07-29,114.5,117.0,114.0,116.5,26103
2022-08-01,117.0,120.0,114.5,119.0,145610
2022-08-02,118.0,118.0,115.0,116.5,32959
2022-08-03,115.5,116.5,113.0,116.0,134350
2022-08-04,116.5,117.0,115.0,116.0,32000
2022-08-05,118.0,126.0,118.0,126.0,150943
2022-08-08,128.0,138.5,128.0,132.0,200289
2022-08-09,130.0,130.0,121.5,127.5,89878
2022-08-10,128.0,129.0,126.0,127.5,51951
2022-08-11,132.0,137.0,132.0,136.0,180888
2022-08-12,136.0,136.0,132.5,133.0,58586
2022-08-15,133.5,142.0,131.5,140.0,198058
2022-08-16,140.0,141.0,136.5,138.5,128744
2022-08-17,140.0,140.0,135.0,136.0,59633
2022-08-18,133.0,134.0,130.5,132.5,75728
2022-08-19,132.5,138.0,130.5,137.5,125585
2022-08-22,134.5,138.0,133.0,133.5,66742
2022-08-23,134.0,134.0,131.0,132.5,89958
2022-08-24,132.0,133.0,123.0,128.0,176889
2022-08-25,130.0,132.0,128.5,131.0,97573
2022-08-26,130.0,135.0,130.0,135.0,128018
2022-08-29,132.0,133.5,130.0,133.5,42337
2022-08-30,133.0,134.5,132.0,133.0,71647
2022-08-31,133.5,137.0,127.5,131.5,152690
2022-09-01,130.0,132.0,126.0,126.5,72855
2022-09-02,129.0,131.0,127.0,129.0,47239
2022-09-05,128.5,130.0,125.0,128.0,41005
2022-09-06,129.5,130.0,126.0,128.0,29854
2022-09-07,128.0,128.0,123.5,124.5,62079
2022-09-08,124.5,132.5,124.5,129.5,66583
2022-09-12,131.5,132.0,129.0,131.5,25121
2022-09-13,132.5,137.0,132.5,134.0,183045
2022-09-14,132.5,134.0,131.0,132.5,87795
2022-09-15,133.5,143.5,131.5,141.5,416137
2022-09-16,142.0,142.0,132.0,135.5,294022
2022-09-19,135.5,135.5,135.5,135.5,0
2022-09-20,135.5,135.5,135.5,135.5,0
2022-09-21,135.5,135.5,135.5,135.5,0
2022-09-22,135.5,135.5,135.5,135.5,0
2022-09-23,131.5,133.5,131.0,131.5,87387
2022-09-26,131.5,131.5,122.5,123.0,219696
2022-09-27,123.5,126.0,123.5,125.0,51428
2022-09-28,125.5,126.0,119.0,120.0,65032
2022-09-29,120.5,125.0,120.5,123.5,36766
2022-09-30,122.0,123.5,120.0,123.0,21114
2022-10-03,123.0,124.0,120.0,122.0,50512
2022-10-04,123.0,125.0,121.0,121.5,36150
2022-10-05,124.5,125.5,122.5,124.0,50667
2022-10-06,124.0,124.0,120.5,121.0,42629
2022-10-07,122.0,122.0,120.0,121.0,5106
2022-10-11,119.0,119.0,92.0,93.5999984741211,478440
2022-10-12,95.9000015258789,95.9000015258789,90.19999694824219,91.5999984741211,178652
2022-10-13,91.69999694824219,91.69999694824219,82.30000305175781,83.0,278550
2022-10-14,83.80000305175781,88.69999694824219,82.0999984741211,88.5,58800
2022-10-17,86.0999984741211,88.80000305175781,85.30000305175781,85.4000015258789,34453
2022-10-18,87.30000305175781,87.30000305175781,84.9000015258789,87.0999984741211,34988
2022-10-19,86.0,88.80000305175781,86.0,87.69999694824219,17603
2022-10-20,85.19999694824219,88.4000015258789,85.19999694824219,88.4000015258789,7004
2022-10-21,86.0,91.9000015258789,86.0,91.5,45552
2022-10-24,91.69999694824219,93.9000015258789,91.0999984741211,93.9000015258789,32853
2022-10-25,93.69999694824219,93.69999694824219,91.5,92.80000305175781,27402
2022-10-26,92.9000015258789,94.9000015258789,92.0999984741211,94.9000015258789,12512
2022-10-27,95.0,96.69999694824219,93.80000305175781,93.80000305175781,28125
2022-10-28,93.0,93.9000015258789,92.5999984741211,93.5,15404
2022-10-31,93.9000015258789,93.9000015258789,93.9000015258789,93.9000015258789,1101
2022-11-01,94.0,94.0,92.69999694824219,92.69999694824219,8871
2022-11-02,93.0,93.80000305175781,93.0,93.69999694824219,1502
2022-11-03,93.5999984741211,93.5999984741211,92.0,93.19999694824219,19204
2022-11-04,93.19999694824219,93.80000305175781,93.0,93.80000305175781,11403
2022-11-07,93.80000305175781,94.0,92.19999694824219,93.9000015258789,6504
2022-11-08,92.30000305175781,94.0,92.30000305175781,92.9000015258789,31002
2022-11-09,92.69999694824219,92.69999694824219,88.19999694824219,89.4000015258789,95821
2022-11-10,88.69999694824219,89.80000305175781,85.5999984741211,85.69999694824219,45045
2022-11-11,88.0,89.9000015258789,86.80000305175781,89.9000015258789,23438
2022-11-14,89.9000015258789,89.9000015258789,87.19999694824219,87.80000305175781,17701
2022-11-15,87.5999984741211,87.9000015258789,87.0999984741211,87.9000015258789,34380
2022-11-16,87.30000305175781,87.9000015258789,87.30000305175781,87.5999984741211,18521
2022-11-17,88.5999984741211,88.5999984741211,87.30000305175781,87.30000305175781,4821
2022-11-18,87.4000015258789,88.69999694824219,87.4000015258789,87.80000305175781,7522
2022-11-21,87.5,88.19999694824219,87.4000015258789,88.19999694824219,6001
2022-11-22,87.30000305175781,88.0999984741211,87.19999694824219,88.0999984741211,4601
2022-11-23,87.19999694824219,88.30000305175781,87.19999694824219,87.30000305175781,24351
2022-11-24,88.69999694824219,88.9000015258789,87.5,88.0,19104
2022-11-25,87.69999694824219,88.69999694824219,86.0999984741211,86.0999984741211,8102
2022-11-28,86.19999694824219,88.5999984741211,86.19999694824219,88.5999984741211,9101
2022-11-29,87.4000015258789,88.30000305175781,87.4000015258789,88.30000305175781,7101
2022-11-30,88.4000015258789,88.4000015258789,87.30000305175781,88.30000305175781,16004
2022-12-01,88.19999694824219,88.5999984741211,87.5,88.5999984741211,26752
2022-12-02,87.5,88.4000015258789,86.0999984741211,87.80000305175781,14009
2022-12-05,88.5999984741211,88.69999694824219,87.69999694824219,88.69999694824219,15201
2022-12-06,88.69999694824219,89.0,88.30000305175781,89.0,23553
2022-12-07,88.9000015258789,88.9000015258789,86.19999694824219,88.30000305175781,15033
2022-12-08,88.80000305175781,88.80000305175781,88.80000305175781,88.80000305175781,400
2022-12-09,88.80000305175781,91.9000015258789,88.80000305175781,90.9000015258789,31045
2022-12-12,91.9000015258789,95.0999984741211,91.9000015258789,94.69999694824219,51874
2022-12-13,93.0,94.69999694824219,92.9000015258789,93.0999984741211,14452
2022-12-14,94.5999984741211,94.5999984741211,92.5,93.19999694824219,20006
2022-12-15,93.30000305175781,94.30000305175781,92.5,94.30000305175781,10106
2022-12-16,93.0999984741211,93.19999694824219,91.69999694824219,92.0,10171
2022-12-19,92.0,92.80000305175781,91.69999694824219,92.69999694824219,14805
2022-12-20,92.80000305175781,92.80000305175781,92.0,92.69999694824219,8361
2022-12-21,92.5999984741211,92.5999984741211,90.0999984741211,91.5,19465
2022-12-22,91.69999694824219,93.0,91.69999694824219,93.0,28429
2022-12-23,92.5,93.0,91.80000305175781,92.9000015258789,21303
2022-12-26,93.0,93.9000015258789,92.19999694824219,93.0,19413
2022-12-27,93.9000015258789,93.9000015258789,92.80000305175781,92.80000305175781,7400
2022-12-28,93.30000305175781,93.9000015258789,90.0,92.30000305175781,15252
2022-12-29,92.5999984741211,92.5999984741211,91.0,92.5,1006
2022-12-30,92.0,93.5999984741211,91.30000305175781,93.5999984741211,30156
2023-01-03,92.0,93.5999984741211,91.0999984741211,92.5999984741211,14276
2023-01-04,92.5999984741211,92.9000015258789,91.9000015258789,92.9000015258789,6510
2023-01-05,92.9000015258789,92.9000015258789,90.80000305175781,92.69999694824219,19819
2023-01-06,90.80000305175781,92.69999694824219,90.80000305175781,92.4000015258789,3003
2023-01-09,92.5,92.5,92.0,92.4000015258789,5203
2023-01-10,92.5,92.5,91.5,92.4000015258789,5050
2023-01-11,92.4000015258789,92.4000015258789,90.80000305175781,92.30000305175781,3203
2023-01-12,92.30000305175781,92.30000305175781,91.0,92.19999694824219,7016
2023-01-13,92.0999984741211,92.19999694824219,90.9000015258789,92.19999694824219,18225
2023-01-16,92.19999694824219,92.5,91.19999694824219,92.5,9872
2023-01-17,92.5,93.9000015258789,92.5,93.9000015258789,2153
2023-01-30,93.4000015258789,94.30000305175781,93.4000015258789,94.30000305175781,28976
2023-01-31,93.69999694824219,94.0,93.5,94.0,24200
2023-02-01,94.19999694824219,94.19999694824219,93.0999984741211,93.80000305175781,9021
2023-02-02,93.5,93.9000015258789,93.0999984741211,93.9000015258789,15001
2023-02-03,93.9000015258789,93.9000015258789,91.0999984741211,92.9000015258789,44872
2023-02-06,92.9000015258789,93.5999984741211,92.0999984741211,92.80000305175781,13003
2023-02-07,92.9000015258789,93.0,92.5,92.5,14906
