Date,Open,High,Low,Close,Volume
2016-09-26,334.0,336.0,329.0,332.0,343491
2016-09-27,332.0,332.0,332.0,332.0,0
2016-09-28,332.0,332.0,332.0,332.0,0
2016-09-29,333.0,333.0,316.5,320.0,951918
2016-09-30,317.0,324.0,317.0,319.5,512860
2016-10-03,321.0,326.5,321.0,324.0,337470
2016-10-04,322.5,326.5,322.5,326.0,232188
2016-10-05,326.5,331.5,326.5,328.0,487200
2016-10-06,328.0,328.0,323.5,325.0,475400
2016-10-07,325.0,326.5,323.5,325.0,164500
2016-10-11,325.0,331.0,320.0,331.0,667736
2016-10-12,328.0,331.0,323.5,326.0,222120
2016-10-13,328.0,331.0,324.5,326.5,369000
2016-10-14,326.0,326.0,319.5,324.5,362071
2016-10-17,326.0,327.5,317.5,321.5,387428
2016-10-18,323.0,323.5,319.5,320.0,125221
2016-10-19,320.0,327.5,320.0,321.5,353500
2016-10-20,323.0,330.0,323.0,329.0,417409
2016-10-21,326.0,350.0,326.0,342.5,2118222
2016-10-24,340.0,347.0,340.0,343.0,872030
2016-10-25,345.5,354.5,345.5,348.5,1522040
2016-10-26,346.0,368.0,346.0,368.0,2465696
2016-10-27,368.0,370.0,359.0,364.0,1339050
2016-10-28,365.0,369.0,356.0,357.0,813290
2016-10-31,359.0,362.0,347.0,355.5,891638
2016-11-01,355.5,359.0,352.0,356.5,378012
2016-11-02,355.5,355.5,337.0,338.0,1263605
2016-11-03,338.0,343.0,325.0,331.0,1243374
2016-11-04,328.0,335.5,320.0,335.0,952329
2016-11-07,336.0,348.0,336.0,348.0,778187
2016-11-08,347.5,349.5,343.0,348.0,615300
2016-11-09,346.0,346.5,321.0,323.0,1713846
2016-11-10,333.0,346.0,330.0,345.0,1077050
2016-11-11,339.0,340.0,332.5,334.0,544600
2016-11-14,331.0,337.5,324.0,334.0,602400
2016-11-15,330.5,334.5,326.5,329.0,564765
2016-11-16,333.0,335.0,328.0,329.0,441110
2016-11-17,326.5,333.5,324.0,333.5,335295
2016-11-18,331.0,342.5,331.0,342.0,768100
2016-11-21,339.0,347.5,338.5,341.5,848150
2016-11-22,344.0,353.0,336.5,338.5,1429045
2016-11-23,343.0,343.0,334.5,335.0,581445
2016-11-24,334.0,339.0,333.0,335.5,324000
2016-11-25,335.5,339.0,335.5,335.5,163604
2016-11-28,335.5,346.0,335.5,344.0,640446
2016-11-29,343.0,346.0,338.0,338.0,652790
2016-11-30,339.0,343.0,335.0,336.5,310110
2016-12-01,336.5,337.0,322.0,326.0,1148193
2016-12-02,320.0,320.0,308.0,312.0,1711659
2016-12-05,313.0,319.0,309.5,316.0,714400
2016-12-06,319.0,321.5,316.0,320.5,458140
2016-12-07,326.0,330.0,325.0,327.0,799400
2016-12-08,329.0,331.0,325.5,325.5,384595
2016-12-09,326.5,327.0,318.0,319.5,568718
2016-12-12,320.0,321.0,312.0,312.0,557740
2016-12-13,312.0,314.0,308.0,311.0,816404
