Date,Open,High,Low,Close,Volume
2016-09-26,16.0,16.0,15.75,15.875,200000
2016-09-27,15.875,15.875,15.875,15.875,0
2016-09-28,15.875,15.875,15.875,15.875,0
2016-09-29,15.875,15.875,15.6875,15.75,119200
2016-09-30,15.6875,15.75,15.5,15.625,122400
2016-10-03,15.6875,15.75,15.625,15.6875,84800
2016-10-04,15.625,15.9375,15.625,15.8125,104800
2016-10-05,15.8125,16.0625,15.6875,15.75,167200
2016-10-06,16.0,16.1875,15.75,15.875,534400
2016-10-07,15.8125,15.875,15.75,15.75,88000
2016-10-11,15.8125,15.8125,15.1875,15.3125,163200
2016-10-12,15.3125,15.5625,15.125,15.4375,96800
2016-10-13,15.4375,15.4375,15.3125,15.3125,72800
2016-10-14,15.3125,15.3125,15.0625,15.1875,100000
2016-10-17,15.1875,15.375,15.1875,15.25,46400
2016-10-18,15.1875,15.625,15.1875,15.4375,119200
2016-10-19,15.75,15.75,15.5,15.625,80000
2016-10-20,15.625,15.625,15.4375,15.5,39200
2016-10-21,15.5,15.5625,15.375,15.5625,50400
2016-10-24,15.5,15.5,15.4375,15.5,56800
2016-10-25,15.4375,15.625,15.4375,15.5,52800
2016-10-26,15.5625,15.5625,15.1875,15.375,143200
2016-10-27,15.3125,15.375,15.25,15.375,114400
2016-10-28,15.375,15.375,15.1875,15.1875,121600
2016-10-31,15.1875,15.1875,14.9375,15.125,124800
2016-11-01,15.125,15.125,15.0,15.0,38400
2016-11-02,14.9375,15.0,14.8125,14.8125,107200
2016-11-03,14.875,14.875,14.375,14.5625,123200
2016-11-04,14.5,14.6875,14.5,14.5625,29600
2016-11-07,14.625,14.8125,14.625,14.8125,68800
2016-11-08,15.25,15.3125,15.125,15.1875,328000
2016-11-09,15.1875,15.1875,14.625,14.75,221600
2016-11-10,14.8125,15.125,14.8125,15.125,105600
2016-11-11,15.6875,16.3125,15.6875,16.0,1424800
2016-11-14,16.4375,16.5,16.125,16.1875,976800
2016-11-15,16.125,16.375,16.0625,16.3125,432800
2016-11-16,16.3125,16.5,16.1875,16.4375,559200
2016-11-17,16.375,16.75,16.375,16.5625,456000
2016-11-18,16.6875,16.75,16.5,16.75,242400
2016-11-21,16.75,16.8125,16.625,16.8125,312000
2016-11-22,16.75,17.0,16.5625,16.75,434400
2016-11-23,16.6875,16.8125,16.625,16.8125,309600
2016-11-24,16.875,16.875,16.5625,16.625,466400
2016-11-25,16.625,16.875,16.625,16.8125,340000
2016-11-28,16.9375,17.0,16.875,17.0,279200
2016-11-29,17.0,17.25,17.0,17.1875,325600
2016-11-30,17.1875,17.5625,17.1875,17.5,543200
2016-12-01,17.625,17.6875,17.5,17.625,217600
2016-12-02,17.625,17.875,17.625,17.875,269600
2016-12-05,17.875,18.125,17.875,18.125,527200
2016-12-06,18.1875,18.375,18.1875,18.375,526400
2016-12-07,18.5,18.75,18.5,18.75,356800
2016-12-08,18.9375,19.0,18.125,18.4375,570400
2016-12-09,18.3125,18.5625,18.25,18.5625,403200
2016-12-12,18.6875,18.8125,18.4375,18.5625,304000
2016-12-13,18.6875,18.6875,18.3125,18.5625,341600
2016-12-14,18.5625,18.625,18.3125,18.4375,404800
2016-12-15,18.375,18.5,18.375,18.4375,167200
2016-12-16,18.4375,18.5625,18.1875,18.375,459200
2016-12-19,18.1875,18.4375,18.0625,18.1875,320800
2016-12-20,18.0,18.125,17.9375,18.0625,304000
2016-12-21,17.875,17.875,17.375,17.5,338400
2016-12-22,17.3125,17.375,16.6875,16.875,471200
2016-12-23,16.8125,17.6875,16.75,17.4375,333600
2016-12-26,17.3125,17.5625,17.3125,17.3125,76800
2016-12-27,17.25,17.625,17.25,17.625,123200
2016-12-28,17.625,17.9375,17.5625,17.8125,220800
2016-12-29,18.0625,18.0625,17.6875,17.875,264800
2016-12-30,17.8125,18.0625,17.8125,18.0625,419200
2017-01-03,17.875,18.375,17.6875,18.375,494400
2017-01-04,18.375,18.5,18.125,18.3125,347200
2017-01-05,18.3125,18.75,18.1875,18.1875,466400
2017-01-06,18.375,18.375,17.6875,17.875,480800
2017-01-09,17.625,18.0,17.375,17.5,323200
2017-01-10,17.625,17.625,17.375,17.4375,58400
2017-01-11,17.125,17.4375,17.125,17.1875,126400
2017-01-12,17.4375,17.4375,17.25,17.375,120800
2017-01-13,17.5,17.75,17.375,17.625,177600
2017-01-16,17.625,17.75,17.5,17.5625,115200
2017-01-17,17.75,17.75,17.4375,17.6875,104800
2017-01-18,17.875,17.875,17.5625,17.6875,81600
2017-01-19,17.875,17.875,17.5,17.6875,58400
2017-01-20,17.75,17.75,17.5625,17.6875,76000
2017-01-23,17.75,17.75,17.5,17.5,129600
2017-01-24,17.625,17.625,17.4375,17.4375,111200
2017-02-02,17.375,17.5,17.375,17.4375,188000
2017-02-03,17.5,17.625,17.375,17.625,145600
2017-02-06,17.4375,17.5,17.3125,17.5,108800
2017-02-07,17.4375,17.5,17.25,17.25,116000
2017-02-08,17.25,17.25,16.875,16.9375,183200
2017-02-09,16.9375,17.4375,16.9375,17.25,227200
2017-02-10,17.3125,17.5625,17.125,17.25,110400
2017-02-13,17.25,17.5625,17.0625,17.1875,92800
2017-02-14,17.5,17.5,17.0625,17.0625,121600
2017-02-15,17.125,17.375,17.0625,17.375,142400
2017-02-16,17.375,17.4375,17.25,17.25,149600
2017-02-17,17.4375,18.875,17.375,18.875,2304000
2017-02-20,19.6875,19.9375,19.25,19.5,1268000
2017-02-21,19.5,19.6875,18.875,19.4375,959200
2017-02-22,19.5,19.5625,19.1875,19.25,816000
2017-02-23,19.4375,19.625,19.0,19.0,1045600
2017-02-24,19.0,19.125,18.8125,18.875,401600
2017-03-01,19.0,19.0,18.25,18.25,548800
2017-03-02,18.625,18.75,18.3125,18.375,211200
2017-03-03,18.375,18.5625,18.3125,18.375,170400
2017-03-06,18.1875,18.3125,18.125,18.1875,221600
2017-03-07,18.25,18.5625,18.1875,18.25,278400
2017-03-08,18.5,18.5,18.125,18.1875,181600
2017-03-09,18.25,18.25,18.0625,18.0625,185600
2017-03-10,17.875,18.0625,17.75,17.875,220800
2017-03-13,17.875,18.0,17.6875,18.0,97600
2017-03-14,18.0,18.25,17.75,18.125,301600
2017-03-15,18.125,18.25,18.0,18.1875,118400
2017-03-16,18.3125,18.375,18.125,18.3125,221600
2017-03-17,18.1875,18.9375,18.1875,18.75,634400
2017-03-20,18.75,18.8125,18.4375,18.4375,264000
2017-03-21,18.5,18.9375,18.5,18.6875,472000
2017-03-22,18.5,18.625,18.375,18.625,161600
2017-03-23,18.625,18.75,18.5,18.625,194400
2017-03-24,18.5,18.5,18.125,18.1875,364800
2017-03-27,18.1875,18.1875,17.8125,17.8125,195200
2017-03-28,18.0,18.0,17.3125,17.5,279200
2017-03-29,17.5,17.6875,17.5,17.5625,184000
2017-03-30,17.625,18.125,17.625,17.8125,250400
2017-03-31,17.875,17.875,17.75,17.875,81600
2017-04-05,17.875,17.875,17.625,17.75,92800
2017-04-06,17.8125,17.9375,17.6875,17.8125,81600
2017-04-07,17.8125,18.5625,17.75,18.5,906400
2017-04-10,18.75,18.875,18.25,18.5625,609600
2017-04-11,18.6875,18.6875,17.8125,17.875,494400
2017-04-12,17.9375,18.0,17.5625,17.6875,292800
2017-04-13,17.6875,18.0625,17.6875,17.875,156800
2017-04-14,17.875,17.875,17.375,17.4375,332000
2017-04-17,17.4375,17.5,17.125,17.25,170400
2017-04-18,17.5625,17.8125,17.5,17.6875,147200
2017-04-19,17.5,17.6875,17.375,17.4375,209600
2017-04-20,17.4375,17.5,17.3125,17.375,69600
2017-04-21,17.375,17.5625,17.3125,17.5,71200
2017-04-24,17.625,17.625,17.25,17.3125,97600
2017-04-25,17.375,17.5625,17.375,17.5,59200
2017-04-26,17.5,17.6875,17.4375,17.625,76000
2017-04-27,17.625,17.625,17.5,17.625,81600
2017-04-28,17.6875,17.8125,17.625,17.6875,119200
2017-05-02,17.6875,17.75,17.6875,17.75,54400
2017-05-03,17.875,18.0,17.8125,18.0,132800
2017-05-04,18.0,18.1875,17.9375,18.0,189600
2017-05-05,18.0625,18.125,18.0,18.0625,109600
2017-05-08,18.0,18.0,17.6875,17.75,114400
2017-05-09,18.125,18.125,17.4375,17.4375,151200
2017-05-10,17.75,17.75,17.4375,17.5625,48000
2017-05-11,17.4375,17.5,17.375,17.375,73600
2017-05-12,17.5,17.75,17.375,17.75,69600
2017-05-15,17.625,17.75,17.4375,17.5625,120800
2017-05-16,17.6875,17.6875,17.5,17.5625,24800
2017-05-17,17.5625,17.5625,17.125,17.375,112800
2017-05-18,17.25,17.375,17.1875,17.3125,98400
2017-05-19,17.4375,17.5,17.4375,17.4375,73600
2017-05-22,17.4375,17.625,17.4375,17.5625,47200
2017-05-23,17.6875,17.6875,17.5625,17.625,68000
2017-05-24,17.75,17.75,17.5625,17.6875,165600
2017-05-25,17.875,17.875,17.625,17.75,167200
2017-05-26,17.75,17.875,17.75,17.75,68800
2017-05-31,17.75,17.8125,17.5625,17.6875,59200
2017-06-01,17.8125,17.875,17.6875,17.8125,114400
2017-06-02,17.8125,17.875,17.6875,17.8125,134400
2017-06-05,17.75,17.8125,17.6875,17.75,236000
2017-06-06,17.625,17.6875,17.5625,17.625,92800
2017-06-07,17.5625,17.625,17.5,17.5625,110400
2017-06-08,17.5,17.6875,17.5,17.5,68800
2017-06-09,17.6875,17.6875,17.5625,17.5625,67200
2017-06-12,17.5625,17.75,17.5625,17.75,74400
2017-06-13,17.75,17.8125,17.625,17.6875,48800
2017-06-14,17.6875,17.6875,17.5625,17.5625,92800
2017-06-15,17.5625,17.625,17.4375,17.5625,147200
2017-06-16,17.5625,17.5625,17.4375,17.5,34400
2017-06-19,17.5,17.625,17.5,17.5625,42400
2017-06-20,17.5625,17.6875,17.5625,17.625,87200
2017-06-21,17.6875,17.75,17.5625,17.75,139200
2017-06-22,17.75,17.8125,17.6875,17.6875,200800
2017-06-23,17.6875,17.9375,17.6875,17.9375,576800
2017-06-26,17.0,17.25,16.875,17.125,490400
2017-06-27,17.125,17.125,16.875,16.875,189600
2017-06-28,16.875,16.875,16.4375,16.5,400800
2017-06-29,16.625,16.625,16.4375,16.5,93600
2017-06-30,16.375,16.375,16.125,16.3125,156800
2017-07-03,16.25,16.4375,16.25,16.3125,144000
2017-07-04,16.25,16.3125,16.0,16.0625,175200
2017-07-05,16.0625,16.0625,15.875,16.0,88000
2017-07-06,16.0625,16.1875,15.9375,16.0,149600
2017-07-07,16.0,16.0,15.9375,15.9375,76800
2017-07-10,15.9375,15.9375,15.75,15.875,132800
2017-07-11,15.875,15.875,15.625,15.8125,190400
2017-07-12,15.6875,15.75,15.6875,15.6875,103200
2017-07-13,15.75,15.8125,15.6875,15.8125,60000
2017-07-14,15.875,16.0625,15.875,16.0,194400
2017-07-17,16.0625,16.125,15.9375,15.9375,375200
2017-07-18,15.875,15.9375,15.75,15.875,72800
2017-07-19,15.875,16.0,15.8125,15.9375,53600
2017-07-20,15.875,15.9375,15.8125,15.8125,48000
2017-07-21,15.8125,15.8125,15.75,15.75,123200
2017-07-24,15.75,15.8125,15.625,15.6875,121600
2017-07-25,15.6875,15.75,15.625,15.625,84000
2017-07-26,15.625,15.75,15.625,15.6875,85600
2017-07-27,15.8125,15.8125,15.6875,15.6875,65600
2017-07-28,15.625,15.6875,15.5625,15.625,109600
2017-07-31,15.5625,15.625,15.5,15.625,103200
2017-08-01,15.625,15.625,15.5625,15.5625,31200
2017-08-02,15.6875,15.75,15.625,15.6875,104800
2017-08-03,15.625,15.8125,15.625,15.6875,86400
2017-08-04,15.6875,15.6875,15.625,15.625,81600
2017-08-07,15.625,16.0625,15.625,15.9375,929600
2017-08-08,16.0,16.0,15.8125,15.875,95200
2017-08-09,15.875,16.0625,15.8125,15.8125,153600
2017-08-10,15.875,15.875,15.375,15.375,244000
2017-08-11,15.1875,15.375,15.1875,15.1875,170400
2017-08-14,15.3125,15.3125,14.75,15.0,728000
2017-08-15,15.125,15.25,15.0,15.0625,108800
2017-08-16,15.25,15.25,15.0,15.125,53600
2017-08-17,15.125,15.4375,15.125,15.375,232800
2017-08-18,15.25,15.375,15.25,15.375,64800
2017-08-21,15.4375,15.625,15.4375,15.5625,97464
