Date,Open,High,Low,Close,Volume
2016-09-26,1135.0,1140.0,1105.0,1120.0,357921
2016-09-27,1120.0,1120.0,1120.0,1120.0,0
2016-09-28,1120.0,1120.0,1120.0,1120.0,0
2016-09-29,1130.0,1165.0,1130.0,1160.0,379775
2016-09-30,1155.0,1190.0,1135.0,1175.0,405015
2016-10-03,1190.0,1195.0,1165.0,1175.0,276875
2016-10-04,1185.0,1200.0,1160.0,1175.0,523709
2016-10-05,1170.0,1175.0,1150.0,1150.0,252435
2016-10-06,1160.0,1160.0,1140.0,1140.0,240580
2016-10-07,1135.0,1135.0,1080.0,1095.0,560595
2016-10-11,1095.0,1110.0,1010.0,1020.0,747516
2016-10-12,1030.0,1060.0,1020.0,1035.0,532904
2016-10-13,1035.0,1035.0,970.0,970.0,1069105
2016-10-14,972.0,995.0,945.0,952.0,668400
2016-10-17,968.0,973.0,947.0,967.0,381509
2016-10-18,987.0,1060.0,983.0,1060.0,1123231
2016-10-19,1055.0,1130.0,1040.0,1060.0,1021795
2016-10-20,1090.0,1120.0,1065.0,1105.0,714307
2016-10-21,1105.0,1130.0,1095.0,1110.0,439273
2016-10-24,1115.0,1120.0,1085.0,1095.0,247439
2016-10-25,1095.0,1095.0,1070.0,1070.0,217210
2016-10-26,1060.0,1130.0,1060.0,1125.0,742863
2016-10-27,1115.0,1135.0,1090.0,1090.0,382626
2016-10-28,1095.0,1100.0,1085.0,1085.0,217415
2016-10-31,1070.0,1070.0,1035.0,1050.0,390064
2016-11-01,1050.0,1060.0,1040.0,1040.0,142651
2016-11-02,1010.0,1020.0,981.0,983.0,549714
2016-11-03,983.0,1010.0,983.0,990.0,357440
2016-11-04,993.0,1010.0,975.0,984.0,346603
2016-11-07,1035.0,1080.0,1020.0,1080.0,650104
2016-11-08,1120.0,1135.0,1070.0,1095.0,803012
2016-11-09,1100.0,1115.0,1000.0,1015.0,903493
2016-11-10,1080.0,1115.0,1075.0,1115.0,591085
2016-11-11,1110.0,1130.0,1070.0,1130.0,754091
2016-11-14,1140.0,1165.0,1125.0,1160.0,778114
2016-11-15,1140.0,1165.0,1120.0,1150.0,510840
2016-11-16,1165.0,1180.0,1130.0,1135.0,503505
2016-11-17,1130.0,1140.0,1115.0,1140.0,320880
2016-11-18,1140.0,1175.0,1135.0,1155.0,524738
2016-11-21,1155.0,1170.0,1145.0,1155.0,255370
2016-11-22,1165.0,1190.0,1150.0,1150.0,627521
2016-11-23,1155.0,1165.0,1145.0,1150.0,257266
2016-11-24,1145.0,1160.0,1145.0,1160.0,186427
2016-11-25,1160.0,1165.0,1150.0,1155.0,127671
2016-11-28,1160.0,1200.0,1160.0,1180.0,723012
2016-11-29,1180.0,1195.0,1165.0,1195.0,356809
2016-11-30,1195.0,1220.0,1180.0,1180.0,610820
2016-12-01,1180.0,1195.0,1140.0,1150.0,400063
