Date,Open,High,Low,Close,Volume
2017-11-30,145.49000549316406,157.88999938964844,142.0,145.49000549316406,363910
2017-12-01,141.0399932861328,141.0399932861328,133.50999450683594,141.0399932861328,13400
2017-12-04,139.0,141.0399932861328,137.75,139.0,12000
2017-12-05,139.0,142.10000610351562,139.0,139.0,5000
2017-12-06,145.25,149.4600067138672,138.00999450683594,145.25,21020
2017-12-07,143.32000732421875,143.32000732421875,141.0,143.32000732421875,2000
2017-12-08,145.25,145.25,145.25,145.25,100
2017-12-11,142.0,145.25,140.00999450683594,142.0,10000
2017-12-12,141.5,145.0,140.5,141.5,12000
2017-12-13,140.0,142.08999633789062,138.00999450683594,140.0,6011
2017-12-14,140.0,140.0,137.00999450683594,140.0,2000
2017-12-15,142.0,142.0,137.00999450683594,142.0,3000
2017-12-18,142.0,142.0,137.05999755859375,142.0,4000
2017-12-19,145.25,145.25,138.0,145.25,12250
2017-12-20,144.0,145.25,144.0,144.0,5000
2017-12-21,143.89999389648438,147.35000610351562,143.60000610351562,143.89999389648438,8550
2017-12-22,146.5,146.5,146.5,146.5,1000
2017-12-25,147.35000610351562,147.35000610351562,146.0,147.35000610351562,2100
2017-12-26,145.0,146.0,140.00999450683594,145.0,2552
2017-12-27,145.9499969482422,146.9499969482422,141.00999450683594,145.9499969482422,12000
2017-12-28,146.10000610351562,148.0,146.10000610351562,146.10000610351562,35500
2017-12-29,147.0,148.41000366210938,146.0,147.0,32310
2018-01-02,148.41000366210938,148.41000366210938,147.8800048828125,148.41000366210938,13020
2018-01-03,145.0,148.41000366210938,145.0,145.0,7000
2018-01-04,145.0,145.0,145.0,145.0,0
2018-01-05,148.0,148.0,148.0,148.0,1000
2018-01-08,149.0,149.0,149.0,149.0,1000
2018-01-09,149.0,149.4600067138672,145.5,149.0,15000
2018-01-10,151.55999755859375,153.6699981689453,149.0,151.55999755859375,17100
2018-01-11,153.6699981689453,153.6699981689453,146.00999450683594,153.6699981689453,2250
2018-01-12,151.5,153.6699981689453,146.00999450683594,151.5,3350
2018-01-15,153.6699981689453,153.6699981689453,150.0,153.6699981689453,4140
2018-01-16,151.0,153.6699981689453,150.0,151.0,9098
2018-01-17,150.0,154.72000122070312,150.0,150.0,9100
2018-01-18,153.0,153.0,153.0,153.0,1000
2018-01-19,153.0,153.0,153.0,153.0,0
2018-01-22,154.72000122070312,154.72000122070312,152.0,154.72000122070312,3101
2018-01-23,153.61000061035156,153.61000061035156,152.0,153.61000061035156,3000
2018-01-24,153.61000061035156,153.61000061035156,153.61000061035156,153.61000061035156,0
2018-01-25,153.5,154.72000122070312,147.00999450683594,153.5,6100
2018-01-26,153.5,153.5,153.5,153.5,0
2018-01-29,152.0,153.0,151.0,152.0,3000
2018-01-30,152.5,152.5,149.44000244140625,152.5,3000
2018-01-31,153.0,154.72000122070312,153.0,153.0,5100
2018-02-01,154.0,154.0,154.0,154.0,100
2018-02-02,154.0,154.0,154.0,154.0,0
2018-02-05,153.0,153.0,149.0,153.0,4000
2018-02-06,149.0,151.0,145.00999450683594,149.0,13000
2018-02-07,149.0,149.0,149.0,149.0,0
2018-02-08,151.02999877929688,151.02999877929688,151.02999877929688,151.02999877929688,1000
2018-02-09,151.02999877929688,151.02999877929688,151.02999877929688,151.02999877929688,0
2018-02-12,150.0,150.0,150.0,150.0,0
2018-02-21,153.64999389648438,153.64999389648438,150.0,153.64999389648438,5000
2018-02-22,154.0,154.6999969482422,154.0,154.0,4000
2018-02-23,154.0,154.0,154.0,154.0,0
2018-02-26,153.0,153.0,153.0,153.0,1000
2018-02-27,153.0,153.0,153.0,153.0,2000
2018-03-01,152.0,154.6999969482422,152.0,152.0,3000
2018-03-02,151.0,152.0,147.00999450683594,151.0,4000
2018-03-05,151.0,151.0,151.0,151.0,0
2018-03-06,151.0,151.0,151.0,151.0,1000
2018-03-07,152.0,152.0,151.0,152.0,4020
2018-03-08,152.0,152.5,147.00999450683594,152.0,2420
2018-03-09,151.5,151.5,151.5,151.5,50
2018-03-12,151.0,151.0,151.0,151.0,2000
2018-03-13,151.0,151.0,151.0,151.0,0
2018-03-14,151.0,154.6999969482422,151.0,151.0,5000
2018-03-15,153.0,154.6999969482422,150.0,153.0,16400
2018-03-16,151.0,153.83999633789062,151.0,151.0,2001
2018-03-19,151.0,154.72000122070312,151.0,151.0,3000
2018-03-20,148.0,150.0,147.00999450683594,148.0,16100
2018-03-21,148.0,148.0,148.0,148.0,0
2018-03-22,150.0,153.6699981689453,150.0,150.0,2200
2018-03-23,150.0,150.0,150.0,150.0,2000
2018-03-26,150.0,150.0,150.0,150.0,0
2018-03-27,151.0,151.0,151.0,151.0,2000
2018-03-28,150.0,150.0,150.0,150.0,1100
2018-03-29,151.0,151.0,151.0,151.0,3000
2018-03-30,151.0,151.0,151.0,151.0,2000
2018-04-02,151.0,153.6699981689453,147.97000122070312,151.0,6009
2018-04-03,150.0,151.11000061035156,150.0,150.0,3000
2018-04-09,153.6699981689453,153.6699981689453,150.1999969482422,153.6699981689453,13000
2018-04-10,152.0,153.6699981689453,149.94000244140625,152.0,11100
2018-04-11,152.0,152.0,152.0,152.0,0
2018-04-12,152.75,152.75,152.75,152.75,2000
2018-04-13,154.72000122070312,154.72000122070312,152.75,154.72000122070312,3000
2018-04-16,154.0,154.0,153.41000366210938,154.0,2000
2018-04-17,153.7100067138672,153.7100067138672,152.5,153.7100067138672,3000
2018-04-18,154.72000122070312,154.72000122070312,152.89999389648438,154.72000122070312,5000
2018-04-19,155.77000427246094,155.77000427246094,148.00999450683594,155.77000427246094,14025
2018-04-20,155.77000427246094,155.77000427246094,155.77000427246094,155.77000427246094,2100
2018-04-23,154.5,155.0,154.5,154.5,1300
2018-04-24,151.1999969482422,155.77000427246094,151.1999969482422,151.1999969482422,2200
2018-04-25,151.1999969482422,151.1999969482422,151.1999969482422,151.1999969482422,0
2018-04-26,148.00999450683594,148.00999450683594,148.00999450683594,148.00999450683594,2000
2018-04-27,152.0,152.0,148.00999450683594,152.0,4100
2018-04-30,151.10000610351562,151.10000610351562,151.10000610351562,151.10000610351562,1000
2018-05-02,151.0,155.77000427246094,151.0,151.0,2101
2018-05-03,155.77000427246094,155.77000427246094,155.77000427246094,155.77000427246094,1601
2018-05-04,155.77000427246094,155.77000427246094,155.77000427246094,155.77000427246094,0
2018-05-07,153.0,155.77000427246094,153.0,153.0,3200
2018-05-08,151.0,153.0,151.0,151.0,4000
2018-05-09,151.5,152.0,151.5,151.5,1300
2018-05-10,151.5800018310547,151.5800018310547,151.5800018310547,151.5800018310547,2000
2018-05-11,150.0,151.5800018310547,148.00999450683594,150.0,6000
2018-05-14,151.0,151.0,148.00999450683594,151.0,7000
2018-05-15,152.0,152.0,150.14999389648438,152.0,4000
2018-05-16,163.0,163.0,155.77000427246094,163.0,37846
2018-05-17,164.0,165.0,162.0,164.0,18565
2018-05-18,163.00999450683594,165.0,163.00999450683594,163.00999450683594,1250
2018-05-21,158.0,165.0,157.0,158.0,18763
2018-05-22,162.5,162.5,162.0,162.5,2200
2018-05-23,165.0,165.0,162.25,165.0,6200
2018-05-24,163.0,165.0,163.0,163.0,2400
2018-05-25,164.0,165.0,157.00999450683594,164.0,1426
2018-05-28,163.0,163.0,163.0,163.0,100
2018-05-29,163.0,163.0,163.0,163.0,1
2018-05-30,163.0,163.0,163.0,163.0,0
2018-05-31,163.0,163.0,163.0,163.0,100
2018-06-01,165.0,165.0,160.0,165.0,4001
2018-06-04,165.0,165.0,165.0,165.0,0
2018-06-05,161.0,161.25,160.0,161.0,2100
2018-06-06,165.0,165.0,157.00999450683594,165.0,151
2018-06-07,161.0,162.0,157.00999450683594,161.0,11110
2018-06-08,161.0,161.0,157.00999450683594,161.0,210
2018-06-11,161.0,161.0,161.0,161.0,0
2018-06-12,160.0,161.0,160.0,160.0,4000
2018-06-13,157.00999450683594,157.00999450683594,157.00999450683594,157.00999450683594,7000
2018-06-14,159.0,159.0,157.00999450683594,159.0,5001
2018-06-15,158.60000610351562,158.60000610351562,157.00999450683594,158.60000610351562,3000
2018-06-19,156.00999450683594,159.0,156.00999450683594,156.00999450683594,8400
2018-06-20,156.00999450683594,156.00999450683594,156.0,156.00999450683594,12000
2018-06-21,160.0,160.0,160.0,160.0,1000
2018-06-22,160.0,160.0,160.0,160.0,0
2018-06-25,160.0,160.0,160.0,160.0,1000
2018-06-26,158.0,158.0,158.0,158.0,1000
2018-06-27,158.0,158.0,155.00999450683594,158.0,2000
2018-06-28,158.0,158.0,158.0,158.0,0
2018-06-29,159.5,159.5,155.00999450683594,159.5,7000
2018-07-02,167.0,167.0,164.0,167.0,28000
2018-07-03,165.24000549316406,165.24000549316406,165.24000549316406,165.24000549316406,2000
2018-07-04,162.0,167.0,159.0,162.0,10105
2018-07-05,162.0,162.72999572753906,162.0,162.0,2000
2018-07-06,162.0,162.0,162.0,162.0,0
2018-07-09,166.0,166.0,163.0,166.0,1091
2018-07-10,163.0,163.0,163.0,163.0,1000
2018-07-11,161.0,162.5,161.0,161.0,7200
2018-07-12,162.99000549316406,163.49000549316406,161.0,162.99000549316406,12100
2018-07-13,155.19000244140625,156.0,153.0,155.19000244140625,46460
2018-07-16,155.5,156.99000549316406,155.0,155.5,5100
2018-07-17,157.5,157.5,157.5,157.5,2000
