Date,Open,High,Low,Close,Volume
2016-09-26,179.5,181.0,179.0,179.5,88249
2016-09-27,179.5,179.5,179.5,179.5,0
2016-09-28,179.5,179.5,179.5,179.5,0
2016-09-29,181.5,182.0,179.5,180.0,173499
2016-09-30,181.0,181.0,177.5,177.5,103742
2016-10-03,178.0,178.0,177.5,177.5,54543
2016-10-04,177.5,179.0,177.5,178.5,43030
2016-10-05,178.0,178.0,177.5,178.0,25280
2016-10-06,177.5,179.0,177.0,178.0,50164
2016-10-07,177.5,179.0,177.5,178.5,36583
2016-10-11,178.0,179.5,177.0,178.0,64835
2016-10-12,179.0,179.5,178.0,178.0,59339
2016-10-13,179.5,181.0,179.0,179.0,77400
2016-10-14,179.0,180.0,177.0,178.0,60339
2016-10-17,177.5,177.5,176.5,176.5,43572
2016-10-18,176.5,176.5,175.0,176.0,88000
2016-10-19,176.5,176.5,175.0,175.0,88320
2016-10-20,175.0,175.0,174.5,175.0,90450
2016-10-21,175.0,175.5,175.0,175.0,38460
2016-10-24,174.0,175.0,174.0,174.0,69619
2016-10-25,174.0,175.5,174.0,174.5,101715
2016-10-26,175.0,175.0,174.5,174.5,38678
2016-10-27,174.5,175.5,174.5,174.5,48768
2016-10-28,174.5,174.5,174.0,174.5,34115
2016-10-31,175.5,177.0,175.0,175.5,75095
2016-11-01,176.5,176.5,175.5,176.0,30310
2016-11-02,175.0,175.5,174.5,175.0,39660
2016-11-03,174.5,175.0,174.0,174.0,50870
2016-11-04,174.0,174.5,174.0,174.0,25001
2016-11-07,175.5,175.5,174.5,175.0,25569
2016-11-08,175.0,175.5,174.5,175.0,21920
2016-11-09,175.5,175.5,172.5,173.5,150152
2016-11-10,174.0,175.5,174.0,175.0,56938
2016-11-11,174.0,175.5,173.5,175.0,41260
2016-11-14,174.5,174.5,173.0,174.0,36480
2016-11-15,173.0,175.5,172.0,175.5,119426
2016-11-16,175.5,175.5,174.0,174.5,29249
2016-11-17,174.5,175.0,174.0,174.5,33200
2016-11-18,174.0,175.0,174.0,174.0,15052
2016-11-21,174.0,174.5,174.0,174.0,12452
2016-11-22,174.0,174.5,173.5,174.0,76999
2016-11-23,174.0,174.0,172.5,173.5,74811
2016-11-24,172.5,174.0,172.5,174.0,18475
2016-11-25,174.0,174.0,173.5,173.5,17704
2016-11-28,173.5,173.5,173.0,173.5,47402
2016-11-29,179.0,183.0,177.0,177.0,273150
2016-11-30,177.5,177.5,175.5,175.5,76322
2016-12-01,176.0,176.0,175.5,176.0,60266
2016-12-02,176.0,176.0,175.5,176.0,17641
2016-12-05,175.5,176.0,174.0,174.5,133615
2016-12-06,174.5,175.0,174.5,175.0,55904
2016-12-07,175.0,176.0,174.5,175.0,47290
2016-12-08,175.0,176.5,174.5,175.0,72120
2016-12-09,175.0,176.0,175.0,176.0,32805
2016-12-12,176.0,176.0,174.5,175.0,51999
2016-12-13,175.0,175.0,174.0,174.0,57201
2016-12-14,174.0,174.5,174.0,174.5,29320
2016-12-15,175.0,175.5,175.0,175.0,14239
2016-12-16,175.0,175.0,174.0,174.5,51543
2016-12-19,174.0,174.5,174.0,174.0,53922
2016-12-20,174.0,174.0,173.5,173.5,56973
2016-12-21,174.5,174.5,173.5,174.0,22179
2016-12-22,173.5,174.0,173.0,173.5,68060
2016-12-23,173.5,173.5,173.0,173.5,27015
2016-12-26,173.0,173.5,173.0,173.5,52300
2016-12-27,175.5,175.5,173.5,173.5,19485
2016-12-28,173.5,174.5,173.5,173.5,26020
2016-12-29,173.5,174.0,173.5,173.5,19031
2016-12-30,173.5,174.0,173.0,174.0,27786
2017-01-03,174.0,174.5,173.5,174.5,27207
2017-01-04,174.0,174.5,173.5,174.0,29300
2017-01-05,174.5,175.5,174.5,175.5,59200
2017-01-06,175.0,176.0,173.5,175.0,100100
2017-01-09,175.0,175.5,174.5,174.5,28020
2017-01-10,174.5,175.0,174.0,174.5,21600
2017-01-11,174.5,175.0,174.5,174.5,22080
2017-01-12,175.0,175.0,174.5,175.0,29127
2017-01-13,175.0,175.0,174.5,174.5,16400
2017-01-16,174.5,174.5,173.5,173.5,27007
2017-01-17,176.5,176.5,174.0,175.5,69044
2017-01-18,175.0,175.0,174.0,174.5,53671
2017-01-19,174.5,175.0,174.5,174.5,35200
2017-01-20,174.5,175.0,173.5,173.5,45056
2017-01-23,174.5,174.5,173.5,174.0,45021
2017-01-24,174.0,175.0,174.0,175.0,37252
2017-02-02,176.0,176.0,174.5,174.5,27565
2017-02-03,174.5,175.5,174.5,175.0,34200
2017-02-06,175.0,176.5,175.0,176.5,80356
2017-02-07,176.5,176.5,175.5,176.0,27488
2017-02-08,176.5,176.5,175.5,175.5,41164
2017-02-09,177.0,177.0,175.5,176.0,34954
2017-02-10,176.5,177.0,176.5,176.5,46747
2017-02-13,177.0,177.5,176.5,176.5,75146
2017-02-14,176.5,177.0,176.5,176.5,44485
2017-02-15,177.0,181.0,177.0,178.0,188281
2017-02-16,179.0,181.0,177.0,179.5,185709
2017-02-17,180.0,181.5,179.0,179.0,220076
2017-02-20,180.0,181.5,179.5,179.5,143104
2017-02-21,179.5,179.5,178.0,178.0,105072
2017-02-22,178.0,179.5,178.0,178.5,59466
2017-02-23,178.5,178.5,178.0,178.0,44977
2017-02-24,178.0,178.5,178.0,178.5,25999
2017-03-01,179.0,179.0,178.0,178.5,32524
2017-03-02,178.0,178.5,177.5,177.5,80606
2017-03-03,178.0,180.0,177.5,178.0,77844
2017-03-06,180.5,180.5,178.0,178.0,36898
2017-03-07,178.5,179.5,178.5,178.5,34295
2017-03-08,178.5,179.0,178.5,179.0,55750
2017-03-09,178.5,178.5,178.0,178.0,48137
2017-03-10,179.0,179.0,177.5,178.5,28062
2017-03-13,178.5,181.0,178.5,179.5,105328
2017-03-14,180.0,180.0,179.0,179.0,47592
2017-03-15,180.0,180.5,180.0,180.5,48300
2017-03-16,182.0,182.5,180.0,182.0,256500
2017-03-17,182.5,183.0,182.0,182.0,105728
2017-03-20,182.5,183.0,182.0,183.0,98350
2017-03-21,182.0,183.0,181.5,181.5,120194
2017-03-22,181.0,182.0,181.0,181.5,54950
2017-03-23,181.5,182.5,181.5,181.5,36523
2017-03-24,181.5,182.0,181.5,181.5,30481
2017-03-27,182.0,182.0,181.0,181.0,97596
2017-03-28,182.0,182.0,181.0,181.0,42901
2017-03-29,182.0,182.0,180.5,181.0,26780
2017-03-30,181.0,181.0,179.5,180.0,76900
2017-03-31,179.5,179.5,178.0,178.5,123636
2017-04-05,178.5,179.5,178.0,178.5,72449
2017-04-06,178.5,179.0,178.0,178.0,57493
2017-04-07,178.0,178.5,177.0,177.5,103400
2017-04-10,177.5,178.0,177.5,177.5,79030
2017-04-11,177.0,177.0,175.5,176.5,170781
2017-04-12,176.5,176.5,175.0,175.5,194934
2017-04-13,176.0,176.0,175.0,175.5,37736
2017-04-14,176.0,176.0,174.0,174.0,133636
2017-04-17,174.0,174.5,173.0,174.0,75099
2017-04-18,174.5,175.0,174.0,174.0,53989
2017-04-19,174.5,174.5,172.5,172.5,137960
2017-04-20,173.5,173.5,172.5,172.5,57073
2017-04-21,174.0,174.0,172.5,172.5,85527
2017-04-24,173.5,175.5,173.5,175.5,76223
2017-04-25,175.5,176.0,175.0,175.5,26395
2017-04-26,175.5,175.5,172.5,173.5,91733
2017-04-27,173.5,173.5,173.0,173.0,46300
2017-04-28,174.0,174.0,173.5,173.5,22700
2017-05-02,173.5,174.5,173.5,173.5,36667
2017-05-03,173.5,174.0,173.5,173.5,21650
2017-05-04,173.5,174.5,173.0,173.5,39899
2017-05-05,173.5,174.0,173.5,174.0,54970
2017-05-08,174.5,174.5,172.0,172.5,152838
2017-05-09,173.5,173.5,172.0,173.0,71450
2017-05-10,172.0,174.0,172.0,174.0,30110
2017-05-11,172.5,174.0,172.0,173.5,68400
2017-05-12,173.5,173.5,173.0,173.0,27621
2017-05-15,173.0,174.0,173.0,174.0,63327
2017-05-16,174.5,174.5,174.0,174.5,43248
2017-05-17,175.0,175.0,174.0,174.5,32485
2017-05-18,173.5,174.0,173.5,174.0,28833
2017-05-19,174.0,174.0,173.5,173.5,36919
2017-05-22,173.5,173.5,173.0,173.5,48710
2017-05-23,173.5,174.0,173.5,174.0,22000
2017-05-24,174.0,174.0,173.0,174.0,33201
2017-05-25,173.5,174.5,173.5,174.5,45000
2017-05-26,174.0,174.5,173.5,174.5,41030
2017-05-31,174.5,176.5,174.5,176.5,86162
2017-06-01,176.5,177.5,176.5,177.5,50750
2017-06-02,177.0,177.0,176.0,176.5,33350
2017-06-05,176.5,176.5,175.0,175.5,84735
2017-06-06,175.5,176.5,175.5,176.5,27600
2017-06-07,176.5,177.0,176.5,176.5,29458
2017-06-08,177.0,177.5,177.0,177.5,25250
2017-06-09,177.5,177.5,176.0,177.0,71565
2017-06-12,176.5,176.5,176.0,176.5,24493
2017-06-13,176.5,177.0,176.5,177.0,18560
2017-06-14,177.0,177.5,175.5,176.0,59321
