Date,Open,High,Low,Close,Volume
2023-12-27,130.5,130.5,129.5,130.0,4000
2023-12-28,130.0,134.0,128.0,134.0,11000
2023-12-29,132.5,132.5,132.5,132.5,3000
2024-01-02,134.5,137.0,133.0,135.0,14286
2024-01-03,133.0,136.0,132.0,133.0,16007
2024-01-04,135.0,135.0,131.0,134.0,3122
2024-01-05,135.0,135.0,129.0,129.0,11058
2024-01-08,133.0,133.0,124.5,125.0,26043
2024-01-09,128.0,128.0,118.0,118.0,30338
2024-01-10,117.0,118.0,116.0,117.5,14032
2024-01-11,116.5,120.0,116.5,120.0,4436
2024-01-12,116.5,120.5,116.5,120.0,12139
2024-01-15,120.0,120.0,120.0,120.0,0
2024-01-16,119.0,120.5,118.5,120.0,18128
2024-01-17,121.5,121.5,121.5,121.5,14
2024-01-18,119.0,121.5,118.5,120.5,11430
2024-01-19,121.0,122.0,119.0,121.0,8121
2024-01-22,121.0,121.0,118.0,120.0,4202
2024-01-23,117.5,119.0,116.5,119.0,13010
2024-01-24,120.0,120.5,116.5,119.0,15070
2024-01-25,119.0,119.5,118.5,119.5,5110
2024-01-26,118.5,121.0,118.0,120.5,2839
2024-01-29,120.5,120.5,120.5,120.5,10
2024-01-30,117.0,119.5,117.0,119.5,6770
2024-01-31,120.0,120.5,119.5,119.5,3210
2024-02-01,120.0,128.5,119.0,128.0,21416
2024-02-02,129.5,129.5,123.5,126.5,17191
2024-02-05,126.5,126.5,123.0,126.5,1020
2024-02-15,126.5,126.5,123.5,125.5,4226
2024-02-16,123.0,125.0,122.5,124.5,10261
2024-02-19,122.5,125.0,122.5,123.0,9022
2024-02-20,124.5,127.5,124.0,126.5,20326
2024-02-21,124.5,125.5,124.0,124.0,19354
2024-02-22,125.0,136.0,124.5,131.0,79506
2024-02-23,131.0,131.0,124.5,128.5,11601
2024-02-26,128.0,128.0,122.5,122.5,9550
2024-02-27,124.5,125.0,122.5,125.0,1367
2024-02-29,125.0,125.0,125.0,125.0,0
2024-03-01,126.0,128.0,126.0,128.0,3002
2024-03-04,126.5,126.5,122.0,123.0,18329
2024-03-05,124.5,124.5,121.5,124.0,6817
2024-03-06,124.0,124.0,124.0,124.0,1171
2024-03-07,124.0,124.5,119.5,121.5,22138
2024-03-08,122.0,123.5,118.5,123.5,5064
2024-03-11,123.0,123.0,123.0,123.0,3
2024-03-12,123.0,123.0,120.0,122.5,5254
2024-03-13,120.0,121.0,117.0,120.0,15182
2024-03-14,117.0,120.0,117.0,120.0,8038
2024-03-15,120.0,120.0,116.5,119.5,7031
2024-03-18,120.0,120.0,117.0,120.0,10511
2024-03-19,117.5,117.5,116.0,117.5,9221
2024-03-20,117.5,118.5,116.5,118.0,12810
2024-03-21,118.0,120.0,115.5,120.0,13766
2024-03-22,115.5,118.5,115.5,118.5,110
2024-03-25,115.5,116.5,114.5,116.0,25071
2024-03-26,116.0,116.0,116.0,116.0,0
2024-03-27,114.5,116.5,113.5,115.5,17005
2024-03-28,114.0,115.0,113.5,114.0,9009
2024-03-29,113.5,115.0,113.5,114.5,11110
2024-04-01,115.5,115.5,115.5,115.5,1
2024-04-02,115.5,115.5,115.5,115.5,9
2024-04-03,113.5,116.5,113.5,116.5,4011
2024-04-08,116.5,116.5,113.0,115.0,14019
2024-04-09,117.5,117.5,116.0,117.5,6015
