Date,Open,High,Low,Close,Volume
2024-06-13,182.0,259.0,182.0,202.0,324713
2024-06-14,198.0,202.0,186.5,190.5,290830
2024-06-17,192.0,203.5,192.0,203.5,44332
2024-06-18,203.5,206.0,197.0,199.0,57184
2024-06-19,201.0,205.0,200.0,201.5,42018
2024-06-20,201.0,203.0,197.0,200.0,21910
2024-06-21,198.0,203.0,193.5,194.0,136989
2024-06-24,193.5,197.0,193.0,193.5,33162
2024-06-25,194.0,196.0,191.0,193.0,40469
2024-06-26,191.0,193.0,191.0,192.0,24920
2024-06-27,191.0,192.0,190.0,191.5,13120
2024-06-28,192.0,192.0,188.0,190.5,52496
2024-07-01,187.5,188.5,186.5,187.0,20995
2024-07-02,186.0,188.5,186.0,187.0,23262
2024-07-03,187.0,188.5,186.0,187.0,36213
2024-07-04,187.5,187.5,179.0,181.0,49944
2024-07-05,182.0,183.0,177.0,179.0,72386
2024-07-08,180.0,181.5,170.0,174.0,60741
2024-07-09,170.0,172.5,162.0,162.5,90351
2024-07-10,164.0,168.5,160.5,168.5,37600
2024-07-11,165.5,168.0,161.5,164.5,37279
2024-07-12,161.5,164.5,159.0,162.0,54888
2024-07-15,162.5,164.5,159.5,164.5,23759
2024-07-16,164.0,164.0,160.0,161.5,41469
2024-07-17,162.0,162.0,158.5,161.0,30767
2024-07-18,159.0,163.0,149.5,163.0,58978
2024-07-19,160.5,163.5,156.5,162.5,31827
2024-07-22,162.5,162.5,149.5,152.0,54750
2024-07-23,153.5,156.0,153.5,154.5,15220
2024-07-26,155.0,156.5,154.5,155.0,7057
2024-07-29,157.5,157.5,148.5,148.5,35067
2024-07-30,155.0,155.0,150.0,153.5,18106
2024-07-31,151.0,152.5,149.5,152.0,48609
2024-08-01,152.0,155.5,149.5,151.0,52360
2024-08-02,151.5,155.5,151.5,154.5,42915
2024-08-05,155.0,155.0,148.5,149.0,49952
2024-08-06,150.0,151.5,148.0,148.5,32397
2024-08-07,149.0,154.5,149.0,154.0,7902
2024-08-08,153.0,155.0,152.0,155.0,9802
2024-08-09,152.5,168.0,151.5,163.5,57114
2024-08-12,160.5,160.5,156.0,158.0,23614
2024-08-13,160.0,160.0,155.5,157.0,15466
