Date,Open,High,Low,Close,Volume
2024-06-13,220.0,340.0,220.0,327.0,316854
2024-06-14,315.0,316.5,280.5,290.0,119488
2024-06-17,295.0,295.0,272.0,282.0,102639
2024-06-18,280.0,280.0,270.0,273.0,53777
2024-06-19,273.5,273.5,268.0,270.5,38398
2024-06-20,269.0,299.0,269.0,299.0,109172
2024-06-21,291.0,291.0,279.0,290.0,41136
2024-06-24,289.5,295.0,284.5,292.0,29110
2024-06-25,291.0,295.5,289.0,292.0,34614
2024-06-26,292.0,296.0,292.0,295.0,34334
2024-06-27,294.0,296.0,294.0,296.0,29938
2024-06-28,293.0,334.0,289.5,326.5,130097
2024-07-01,325.5,331.0,315.0,331.0,49048
2024-07-02,331.0,380.0,328.0,366.5,224393
2024-07-03,355.5,379.0,355.5,370.0,149381
2024-07-04,375.0,384.5,362.0,376.0,113497
2024-07-05,372.5,406.5,372.5,402.5,275720
2024-07-08,407.0,407.5,387.0,404.0,172423
2024-07-09,401.5,402.0,378.0,389.0,109781
2024-07-10,392.0,392.0,358.5,372.5,129840
2024-07-11,371.5,377.5,359.0,377.0,99429
2024-07-12,365.0,377.5,365.0,377.5,24284
2024-07-15,378.0,384.0,372.0,383.5,114259
2024-07-16,385.5,391.5,384.5,386.0,50774
2024-07-17,389.5,392.0,377.5,380.0,86095
2024-07-18,371.0,376.5,367.0,376.0,35492
2024-07-19,372.0,388.0,370.5,388.0,102668
2024-07-22,384.0,384.0,368.5,377.5,36664
2024-07-23,377.5,399.5,376.0,399.5,324446
2024-07-26,390.0,401.5,386.0,396.5,86148
2024-07-29,398.0,403.5,395.5,401.5,219809
2024-07-30,401.5,401.5,390.5,396.0,42859
2024-07-31,398.0,398.0,384.5,394.0,41854
2024-08-01,398.0,407.0,397.5,404.0,230208
2024-08-02,402.0,403.5,386.5,386.5,113255
2024-08-05,380.0,380.0,347.0,348.5,137859
2024-08-06,356.5,365.5,339.0,361.0,69366
2024-08-07,353.5,376.5,353.5,373.0,39358
2024-08-08,368.5,387.5,368.5,386.5,24206
2024-08-09,389.0,400.5,380.5,395.5,101696
2024-08-12,400.0,405.5,391.0,391.0,90514
2024-08-13,396.5,411.5,395.0,406.5,253445
2024-08-14,407.5,444.5,405.0,435.0,499654
2024-08-15,431.5,449.5,430.0,449.5,171501
2024-08-16,450.5,465.0,448.5,449.0,100060
2024-08-19,457.5,492.0,456.0,488.0,223649
2024-08-20,493.5,495.0,479.0,482.0,58110
2024-08-21,477.0,480.0,459.5,472.0,76050
2024-08-22,475.0,475.0,463.5,470.0,27838
2024-08-23,463.0,490.0,462.0,477.0,104663
2024-08-26,481.0,516.0,481.0,500.0,317743
2024-08-27,493.5,525.0,491.0,525.0,256568
2024-08-28,530.0,532.0,511.0,522.0,75248
2024-08-29,522.0,522.0,507.0,519.0,63339
2024-08-30,520.0,520.0,506.0,515.0,92664
2024-09-02,515.0,532.0,510.0,521.0,193796
2024-09-03,525.0,540.0,525.0,532.0,199715
2024-09-04,520.0,527.0,507.0,518.0,211324
2024-09-05,527.0,537.0,520.0,528.0,132702
2024-09-06,528.0,532.0,518.0,530.0,94870
2024-09-09,530.0,550.0,521.0,550.0,88089
2024-09-10,550.0,552.0,510.0,525.0,175541
2024-09-11,513.0,525.0,513.0,522.0,45877
2024-09-12,523.0,530.0,513.0,520.0,106724
2024-09-13,525.0,531.0,513.0,531.0,48415
2024-09-16,532.0,532.0,506.0,515.0,70749
2024-09-18,516.0,518.0,480.0,500.0,99428
2024-09-19,502.0,504.0,468.0,489.0,85050
2024-09-20,483.0,485.0,450.0,470.5,277274
2024-09-23,470.0,479.0,460.0,474.0,71755
2024-09-24,471.0,479.5,469.0,473.0,53761
2024-09-25,475.0,476.5,447.0,460.0,128289
2024-09-26,467.0,471.0,457.0,465.0,171202
2024-09-27,466.0,470.0,447.5,457.0,96662
2024-09-30,462.0,462.0,425.0,436.0,90438
2024-10-01,435.0,438.5,415.0,420.5,51320
2024-10-04,420.5,421.5,410.5,420.0,17523
2024-10-07,420.0,482.0,420.0,466.0,129695
2024-10-08,465.0,466.0,438.0,458.5,93429
2024-10-09,455.0,490.0,455.0,469.5,111682
2024-10-11,470.0,481.5,443.0,462.0,121744
2024-10-14,449.5,450.0,414.0,440.0,42475
2024-10-15,439.0,443.0,406.5,430.0,81738
2024-10-16,430.5,432.5,417.0,429.5,18582
2024-10-17,431.0,434.5,418.5,430.5,49164
2024-10-18,435.0,451.5,422.0,435.0,95044
2024-10-21,438.0,438.0,422.0,437.0,12114
2024-10-22,437.0,437.0,418.5,426.0,100670
2024-10-23,419.0,430.0,418.5,430.0,8573
2024-10-24,430.0,431.5,418.0,418.0,86321
2024-10-25,425.0,425.0,412.5,424.0,91450
2024-10-28,425.0,431.0,415.0,430.0,34089
2024-10-29,430.0,431.5,426.0,430.0,2071
2024-10-30,430.0,430.0,417.0,430.0,3094
2024-11-01,430.0,431.0,418.5,418.5,43078
2024-11-04,428.0,430.0,416.5,429.0,9918
2024-11-05,425.0,429.0,417.0,425.0,15096
2024-11-06,428.0,435.0,417.5,435.0,109919
2024-11-07,430.0,451.5,428.5,443.5,114835
2024-11-08,443.0,443.0,430.0,439.5,28986
2024-11-11,435.5,440.0,429.0,429.0,32118
2024-11-12,430.0,434.0,421.0,422.5,18333
2024-11-13,425.0,425.0,415.0,422.0,32708
2024-11-14,424.0,426.0,415.5,426.0,35659
2024-11-15,420.0,426.0,402.5,417.5,55018
2024-11-18,419.5,420.0,390.0,403.5,41472
2024-11-19,400.0,410.5,399.0,408.0,10080
2024-11-20,408.5,411.0,400.5,409.0,14350
2024-11-21,408.5,451.5,408.5,443.5,235030
2024-11-22,438.5,451.5,432.0,444.0,131398
2024-11-25,447.0,447.0,420.0,434.5,53747
2024-11-26,434.0,436.0,419.0,435.0,17161
2024-11-27,434.0,434.0,420.0,423.5,20476
2024-11-28,425.0,425.0,410.5,413.0,45108
2024-11-29,416.0,416.0,408.5,414.0,33344
2024-12-02,409.0,420.0,401.0,408.0,59277
2024-12-03,414.5,424.0,405.5,408.5,55868
2024-12-04,404.5,410.0,404.5,408.0,10446
2024-12-05,411.0,411.0,402.5,405.0,26595
2024-12-06,402.5,405.0,395.0,403.5,31071
2024-12-09,403.5,403.5,389.5,396.0,74103
2024-12-10,400.0,421.0,400.0,407.0,61117
2024-12-11,403.5,405.0,394.0,402.5,88741
2024-12-12,406.0,421.5,406.0,414.0,33147
2024-12-13,414.5,414.5,404.0,409.0,20083
2024-12-16,406.0,406.0,402.0,404.0,21852
2024-12-17,406.5,420.0,406.5,407.0,35770
2024-12-18,407.0,407.0,398.0,400.0,11469
2024-12-19,402.5,403.5,397.0,403.0,17708
2024-12-20,409.0,409.0,400.0,406.0,4806
2024-12-23,409.0,409.0,400.0,404.0,5661
2024-12-24,404.5,404.5,400.0,401.0,7460
2024-12-25,406.5,406.5,393.5,393.5,49289
2024-12-26,400.5,400.5,393.5,397.0,43436
2024-12-27,395.5,406.5,395.5,404.5,9366
2024-12-30,404.0,404.0,396.5,400.0,2831
2024-12-31,396.0,401.0,396.0,397.5,4033
2025-01-02,400.5,403.0,397.5,397.5,9403
2025-01-03,400.0,401.5,397.0,400.0,24360
2025-01-06,401.5,406.0,399.5,401.0,19972
2025-01-07,398.5,400.0,396.0,399.0,21277
2025-01-08,399.5,399.5,397.5,398.0,21280
2025-01-09,398.0,400.0,392.0,398.0,76281
2025-01-10,399.0,404.5,389.0,404.5,38976
2025-01-13,396.0,406.0,393.0,393.0,19235
2025-01-14,396.0,396.0,388.0,390.0,57210
2025-01-15,389.0,390.0,367.5,369.0,96237
2025-01-16,381.5,386.5,374.0,378.5,63251
2025-01-17,381.5,386.0,378.5,386.0,29244
2025-01-20,390.0,403.5,388.5,393.0,14657
2025-01-21,396.5,399.5,389.0,394.0,50877
2025-01-22,390.5,404.5,390.5,393.0,65997
2025-02-03,394.0,402.5,383.0,386.0,47523
2025-02-04,390.0,391.0,382.0,385.0,13481
2025-02-05,387.5,387.5,383.5,385.5,15615
2025-02-06,390.0,403.0,384.5,387.0,19826
2025-02-07,383.5,399.0,381.5,385.0,44687
2025-02-10,385.0,385.5,368.0,374.0,57493
2025-02-11,381.5,385.0,333.0,351.0,213037
2025-02-12,351.5,351.5,324.0,331.0,205154
2025-02-13,346.5,346.5,329.5,336.0,130532
2025-02-14,335.0,347.0,335.0,344.5,27694
2025-02-17,346.5,351.0,344.0,350.0,23657
2025-02-18,349.5,357.0,347.0,351.0,30677
2025-02-19,351.5,351.5,343.5,347.0,38411
2025-02-20,347.5,363.5,347.0,356.0,62926
2025-02-21,350.0,359.0,339.5,349.5,80652
2025-02-24,349.0,350.0,342.0,349.5,13844
2025-02-25,349.5,349.5,341.0,345.0,12976
2025-02-26,348.5,348.5,342.0,347.5,3560
2025-02-27,348.0,350.0,345.0,349.0,1992
2025-03-03,340.0,344.5,328.0,344.0,27439
2025-03-04,334.0,339.5,328.5,334.0,30725
2025-03-05,330.5,338.5,327.0,332.5,49766
2025-03-06,333.5,334.0,325.0,328.0,26111
2025-03-07,329.0,329.5,296.5,318.5,79100
2025-03-10,320.0,320.0,310.0,314.0,17287
2025-03-11,312.0,317.0,309.0,312.0,26175
2025-03-12,309.0,316.0,301.0,310.0,41949
2025-03-13,310.0,313.0,308.5,309.5,30108
2025-03-14,310.5,317.0,309.0,316.0,59534
2025-03-17,317.0,326.0,315.0,326.0,11771
2025-03-18,328.0,341.5,319.0,341.5,68684
2025-03-19,341.5,345.0,330.0,336.0,11135
2025-03-20,341.0,342.5,327.5,342.5,1143
2025-03-21,342.5,350.0,336.0,350.0,14190
2025-03-24,351.5,356.0,344.0,349.0,10715
2025-03-25,350.0,357.5,347.0,348.5,28351
2025-03-26,350.0,350.0,340.0,344.0,5016
2025-03-27,345.0,345.0,330.5,339.0,8228
2025-03-28,329.0,339.0,318.0,324.0,18360
2025-03-31,310.5,316.0,303.0,310.0,44187
2025-04-01,311.0,320.0,306.5,319.0,31107
2025-04-02,316.0,332.5,307.0,324.0,50576
2025-04-07,300.0,300.0,208.0,212.0,371057
2025-04-08,212.0,233.0,209.0,228.0,66467
2025-04-09,221.0,225.0,181.5,195.0,221084
2025-04-10,201.0,263.0,201.0,262.0,114177
2025-04-11,261.5,264.0,235.0,248.0,41993
2025-04-14,254.5,259.0,240.0,249.0,41214
2025-04-15,251.0,252.0,243.5,252.0,26491
2025-04-16,252.0,255.5,233.0,234.0,59767
2025-04-17,233.0,236.5,227.0,236.5,20679
