Date,Open,High,Low,Close,Volume
2024-10-30,126.0,201.0,126.0,180.0,398182
2024-11-01,176.0,176.0,145.5,166.0,115906
2024-11-04,158.0,164.5,157.5,158.0,30241
2024-11-05,163.5,170.0,163.0,165.0,16907
2024-11-06,170.0,179.0,169.0,179.0,75585
2024-11-07,180.5,191.0,178.0,180.0,90532
2024-11-08,178.0,184.5,177.0,177.0,59064
2024-11-11,182.0,182.0,174.0,179.0,388
2024-11-12,173.0,174.0,172.0,172.0,4153
2024-11-13,171.0,174.5,171.0,174.5,1952
2024-11-14,171.5,171.5,171.0,171.0,3359
2024-11-15,171.0,171.0,170.0,170.0,5050
2024-11-18,169.0,169.0,169.0,169.0,1450
2024-11-19,175.0,175.0,169.0,170.0,4004
2024-11-20,170.0,170.0,170.0,170.0,0
2024-11-21,168.0,170.5,168.0,170.5,2620
2024-11-22,170.0,170.0,168.0,170.0,4151
2024-11-25,170.0,170.0,170.0,170.0,1000
2024-11-26,170.5,174.0,170.5,174.0,2001
2024-11-27,174.0,174.0,174.0,174.0,32
2024-11-28,170.0,170.5,170.0,170.5,11162
2024-11-29,170.0,170.0,170.0,170.0,1000
2024-12-02,176.0,176.0,169.5,174.0,3662
2024-12-03,173.0,175.5,170.0,173.0,1016
2024-12-04,173.0,176.0,172.0,175.5,5034
2024-12-05,176.5,178.0,173.0,175.0,4102
2024-12-06,177.0,177.0,172.0,172.5,6160
2024-12-09,175.0,180.5,175.0,177.0,13072
2024-12-10,179.5,179.5,175.5,175.5,3003
2024-12-11,178.0,178.0,172.0,172.0,611
2024-12-12,172.0,172.5,172.0,172.5,3000
2024-12-13,173.0,173.0,170.5,170.5,3001
2024-12-16,170.5,170.5,170.0,170.0,2120
2024-12-17,170.5,171.0,170.0,171.0,210
2024-12-18,175.0,175.0,170.0,171.0,2011
2024-12-19,170.0,170.0,169.0,170.0,4310
2024-12-20,170.0,170.0,170.0,170.0,0
2024-12-23,173.0,173.0,169.5,172.0,3041
2024-12-24,173.0,173.0,173.0,173.0,1
2024-12-25,173.0,173.0,169.0,171.0,31
2024-12-26,172.0,172.0,170.0,170.0,111
2024-12-27,173.0,173.0,168.0,168.0,4021
2024-12-30,173.0,173.0,173.0,173.0,2000
2024-12-31,170.5,170.5,170.5,170.5,1000
2025-01-02,170.5,170.5,170.5,170.5,0
2025-01-03,169.0,170.0,169.0,169.0,10110
