Date,Open,High,Low,Close,Volume
2016-09-26,104.0,105.5,104.0,104.0,284000
2016-09-27,104.0,104.0,104.0,104.0,0
2016-09-28,104.0,104.0,104.0,104.0,0
2016-09-29,105.0,105.5,104.0,104.0,723000
2016-09-30,103.5,105.0,102.0,104.0,951000
2016-10-03,104.0,105.0,102.5,104.0,661000
2016-10-04,103.5,105.0,103.5,104.5,634000
2016-10-05,104.5,104.5,102.0,102.0,747000
2016-10-06,102.5,104.0,102.0,103.5,447000
2016-10-07,105.0,107.0,105.0,105.0,2061000
2016-10-11,106.5,106.5,103.5,104.5,1284000
2016-10-12,104.5,105.5,104.0,104.5,1161000
2016-10-13,105.5,105.5,104.0,105.0,618000
2016-10-14,104.5,105.0,102.5,104.0,509000
2016-10-17,104.0,108.0,103.5,108.0,1698000
2016-10-18,107.5,109.0,107.0,107.5,1413000
2016-10-19,107.5,109.0,107.0,108.0,726000
2016-10-20,108.5,115.5,108.5,111.5,3391000
2016-10-21,111.0,112.5,110.5,112.0,1104000
2016-10-24,112.5,119.0,111.5,117.0,2385000
2016-10-25,117.0,119.0,115.0,115.5,1305000
2016-10-26,115.5,117.5,114.5,116.5,1152000
2016-10-27,117.0,118.5,115.5,118.5,1491000
2016-10-28,118.0,118.0,114.5,117.0,1298000
2016-10-31,117.0,117.5,115.0,117.0,773000
2016-11-01,117.0,117.0,114.0,117.0,989000
2016-11-02,116.5,117.0,110.0,110.5,2115000
2016-11-03,111.5,113.0,110.0,110.5,1576000
2016-11-04,111.0,112.5,110.0,111.5,884000
2016-11-07,112.0,113.5,111.5,113.0,656000
2016-11-08,114.0,114.0,105.5,108.0,1404000
2016-11-09,109.0,110.0,103.5,105.5,1436000
2016-11-10,108.5,111.5,107.5,110.5,1034000
2016-11-11,107.5,108.5,106.5,108.0,510000
2016-11-14,108.0,109.0,105.0,108.0,719000
2016-11-15,107.5,108.0,106.5,106.5,375000
2016-11-16,107.0,109.0,107.0,108.0,479000
2016-11-17,108.0,108.5,106.5,107.5,481000
2016-11-18,107.5,109.0,106.5,108.5,539000
2016-11-21,108.5,112.0,108.5,111.0,809000
2016-11-22,112.0,114.0,110.5,112.5,603000
2016-11-23,113.0,113.5,111.5,112.5,342000
2016-11-24,112.5,112.5,111.0,111.5,203000
2016-11-25,111.5,114.5,111.0,112.5,480000
2016-11-28,112.5,113.5,112.0,113.0,291000
2016-11-29,112.0,112.5,111.0,111.5,271000
2016-11-30,111.5,113.0,110.5,111.5,467000
2016-12-01,111.0,111.5,109.5,110.5,439000
2016-12-02,110.5,110.5,108.0,108.5,420000
2016-12-05,108.5,109.0,106.0,107.0,546000
2016-12-06,107.5,109.0,106.5,107.5,710000
2016-12-07,108.0,110.0,108.0,110.0,642000
2016-12-08,110.0,111.5,109.5,110.5,599000
2016-12-09,108.0,108.5,106.5,107.5,902000
2016-12-12,107.5,107.5,105.0,106.0,730000
2016-12-13,106.0,106.5,104.5,105.0,517000
2016-12-14,105.0,106.0,103.0,103.0,983000
2016-12-15,103.0,104.0,101.5,103.5,1011000
2016-12-16,103.5,103.5,101.0,102.5,1132000
2016-12-19,103.0,103.5,102.0,103.0,587000
2016-12-20,103.5,104.0,102.5,103.0,461000
2016-12-21,103.0,103.0,100.0,100.5,878000
2016-12-22,100.5,100.5,98.69999694824219,99.5999984741211,847000
2016-12-23,99.69999694824219,100.0,98.0,99.5,761000
2016-12-26,100.0,101.5,99.30000305175781,100.5,446000
2016-12-27,101.0,101.0,99.69999694824219,99.9000015258789,265000
2016-12-28,101.0,102.0,100.5,101.5,271000
2016-12-29,101.5,102.0,100.5,102.0,304000
2016-12-30,102.5,103.5,102.0,102.5,418000
2017-01-03,102.5,102.5,100.5,102.0,756000
2017-01-04,102.0,102.0,99.19999694824219,99.4000015258789,1205000
2017-01-05,99.5,100.5,99.30000305175781,99.4000015258789,861000
2017-01-06,99.5,100.5,99.0,100.0,852000
2017-01-09,96.0,96.0,91.69999694824219,92.0,3405000
2017-01-10,91.5999984741211,94.80000305175781,91.5999984741211,94.5,2058000
2017-01-11,95.0,95.19999694824219,94.19999694824219,95.19999694824219,1224000
2017-01-12,95.19999694824219,95.4000015258789,94.30000305175781,95.19999694824219,844000
2017-01-13,95.19999694824219,95.19999694824219,92.5,92.80000305175781,991000
2017-01-16,93.5,93.80000305175781,92.30000305175781,92.5999984741211,1004000
2017-01-17,93.4000015258789,95.80000305175781,92.69999694824219,94.5999984741211,893000
2017-01-18,94.69999694824219,95.19999694824219,93.5,93.80000305175781,447000
2017-01-19,93.80000305175781,94.9000015258789,93.30000305175781,94.5,682000
2017-01-20,94.5,94.5,93.5,93.9000015258789,474000
2017-01-23,93.9000015258789,94.5,93.69999694824219,93.9000015258789,294000
2017-01-24,93.9000015258789,95.0999984741211,93.9000015258789,94.19999694824219,800000
2017-02-02,94.69999694824219,95.5999984741211,93.9000015258789,95.0,636000
2017-02-03,95.19999694824219,96.30000305175781,94.5999984741211,96.0,945000
2017-02-06,96.5999984741211,98.30000305175781,96.0999984741211,97.0,1036000
2017-02-07,96.19999694824219,96.19999694824219,93.69999694824219,94.4000015258789,1642000
2017-02-08,94.4000015258789,95.30000305175781,94.0,94.9000015258789,988000
2017-02-09,95.69999694824219,97.69999694824219,94.9000015258789,96.5999984741211,969000
2017-02-10,98.0,98.0,96.30000305175781,97.30000305175781,1129000
2017-02-13,98.0,98.80000305175781,97.30000305175781,98.19999694824219,602000
2017-02-14,100.0,103.5,100.0,102.0,3297000
2017-02-15,101.0,103.0,100.0,101.0,1357000
2017-02-16,101.0,102.0,99.0999984741211,99.0999984741211,989000
2017-02-17,99.19999694824219,100.0,98.4000015258789,98.5999984741211,640000
2017-02-20,99.19999694824219,102.0,98.80000305175781,100.0,1111000
2017-02-21,100.0,100.0,98.0999984741211,98.4000015258789,669000
2017-02-22,101.0,101.0,99.80000305175781,100.5,946000
2017-02-23,100.5,101.0,99.5999984741211,100.5,1075000
2017-02-24,100.5,100.5,99.19999694824219,99.30000305175781,632000
2017-03-01,99.30000305175781,99.5,98.4000015258789,98.5,574000
2017-03-02,98.9000015258789,99.19999694824219,98.0,98.0,418000
2017-03-03,98.0999984741211,99.5,98.0999984741211,98.5999984741211,317000
2017-03-06,98.69999694824219,99.30000305175781,98.5,98.80000305175781,292000
2017-03-07,98.9000015258789,100.5,98.9000015258789,99.69999694824219,459000
2017-03-08,100.5,101.0,99.4000015258789,100.5,459000
2017-03-09,100.0,100.0,99.4000015258789,99.4000015258789,294000
2017-03-10,99.19999694824219,99.19999694824219,98.0,98.69999694824219,361000
2017-03-13,98.69999694824219,99.4000015258789,98.4000015258789,98.5999984741211,471000
2017-03-14,98.9000015258789,99.30000305175781,98.5,98.9000015258789,522000
2017-03-15,98.80000305175781,100.5,98.80000305175781,99.69999694824219,832000
2017-03-16,100.5,101.0,99.9000015258789,101.0,1031000
2017-03-17,101.0,103.5,100.5,101.5,1163000
2017-03-20,102.0,102.0,100.5,101.0,447000
2017-03-21,101.0,101.5,100.5,101.0,645000
2017-03-22,100.5,101.0,99.30000305175781,100.0,753000
2017-03-23,100.5,100.5,99.69999694824219,99.80000305175781,435000
2017-03-24,99.80000305175781,100.0,99.0,99.30000305175781,500000
2017-03-27,99.5,100.5,99.5,99.5,285000
2017-03-28,100.0,100.5,98.0,99.30000305175781,398000
2017-03-29,99.30000305175781,99.30000305175781,98.30000305175781,98.5999984741211,491000
2017-03-30,98.69999694824219,100.0,98.69999694824219,99.4000015258789,516000
2017-03-31,99.4000015258789,99.4000015258789,98.4000015258789,98.5999984741211,528000
2017-04-05,98.5999984741211,99.5999984741211,98.4000015258789,99.5999984741211,831000
2017-04-06,99.30000305175781,99.5999984741211,98.5999984741211,98.9000015258789,687000
2017-04-07,98.80000305175781,98.80000305175781,96.5999984741211,96.69999694824219,1078000
2017-04-10,96.5999984741211,96.80000305175781,94.5,94.5999984741211,1104000
2017-04-11,94.5999984741211,94.5999984741211,93.0,93.69999694824219,1093000
2017-04-12,93.0,93.30000305175781,92.0,92.0999984741211,803000
2017-04-13,92.0,93.0999984741211,91.9000015258789,92.30000305175781,470000
2017-04-14,93.0,93.0,91.69999694824219,92.30000305175781,657000
2017-04-17,92.80000305175781,92.9000015258789,91.30000305175781,91.5,581000
2017-04-18,92.19999694824219,92.30000305175781,90.0999984741211,90.4000015258789,999000
2017-04-19,90.5,90.80000305175781,89.5,89.5999984741211,622000
2017-04-20,89.30000305175781,91.80000305175781,89.30000305175781,90.69999694824219,486000
2017-04-21,91.0,91.5,89.0,90.4000015258789,974000
2017-04-24,91.30000305175781,91.30000305175781,89.5999984741211,89.5999984741211,438000
2017-04-25,89.80000305175781,90.5999984741211,89.80000305175781,90.0999984741211,294000
2017-04-26,90.5,91.4000015258789,90.5,91.0999984741211,373000
2017-04-27,91.0999984741211,91.69999694824219,90.19999694824219,91.0999984741211,359000
2017-04-28,91.0999984741211,91.0999984741211,90.30000305175781,90.5999984741211,508000
2017-05-02,90.69999694824219,92.69999694824219,90.69999694824219,92.0999984741211,536000
2017-05-03,92.0999984741211,92.4000015258789,91.19999694824219,91.4000015258789,261000
2017-05-04,91.5,91.69999694824219,91.0,91.4000015258789,293000
2017-05-05,91.80000305175781,92.0,91.19999694824219,91.19999694824219,338000
2017-05-08,91.80000305175781,91.80000305175781,91.30000305175781,91.30000305175781,268000
2017-05-09,90.19999694824219,91.30000305175781,89.5,90.19999694824219,511000
2017-05-10,90.19999694824219,91.0999984741211,90.19999694824219,90.5999984741211,331000
2017-05-11,90.5999984741211,91.30000305175781,89.5999984741211,90.0,360000
2017-05-12,90.80000305175781,90.80000305175781,89.5,90.0,463000
2017-05-15,90.30000305175781,91.19999694824219,90.0999984741211,90.80000305175781,399000
2017-05-16,91.0,91.19999694824219,89.80000305175781,90.30000305175781,443000
2017-05-17,90.30000305175781,90.30000305175781,89.5,90.0,384000
2017-05-18,89.4000015258789,89.4000015258789,88.80000305175781,88.80000305175781,664000
2017-05-19,88.0999984741211,88.5999984741211,87.5,87.5999984741211,1032000
2017-05-22,88.0,89.0,86.0999984741211,86.0999984741211,1318000
2017-05-23,86.4000015258789,86.4000015258789,85.4000015258789,85.5,894000
2017-05-24,85.5,87.5999984741211,85.5,86.5,759000
2017-05-25,87.5,89.80000305175781,87.30000305175781,89.5999984741211,1203000
2017-05-26,90.0,90.30000305175781,87.30000305175781,87.5999984741211,973000
2017-05-31,87.5,88.9000015258789,87.0999984741211,88.9000015258789,740000
2017-06-01,88.9000015258789,89.0999984741211,87.69999694824219,87.9000015258789,750000
2017-06-02,88.5,88.5999984741211,87.80000305175781,87.9000015258789,461000
2017-06-05,88.4000015258789,89.80000305175781,88.30000305175781,88.9000015258789,859000
2017-06-06,89.30000305175781,89.5,88.5,88.5,587000
2017-06-07,88.5,89.0,87.4000015258789,88.5999984741211,968000
2017-06-08,88.80000305175781,88.9000015258789,87.4000015258789,87.69999694824219,980000
2017-06-09,87.9000015258789,88.69999694824219,87.5999984741211,87.69999694824219,857000
2017-06-12,88.19999694824219,90.0,87.80000305175781,89.19999694824219,1154000
2017-06-13,90.19999694824219,92.69999694824219,89.9000015258789,92.0,2451000
2017-06-14,93.5999984741211,93.5999984741211,90.80000305175781,92.5999984741211,1777000
2017-06-15,92.80000305175781,94.0,92.80000305175781,93.0,1617000
2017-06-16,93.30000305175781,94.9000015258789,92.0,94.9000015258789,1787000
2017-06-19,95.0,95.5,94.0999984741211,95.19999694824219,1206000
2017-06-20,94.69999694824219,95.30000305175781,93.19999694824219,93.19999694824219,1087000
2017-06-21,93.0999984741211,94.80000305175781,92.5,94.80000305175781,577000
2017-06-22,95.19999694824219,95.5999984741211,94.19999694824219,94.19999694824219,638000
2017-06-23,94.5,95.30000305175781,94.0,95.19999694824219,706000
2017-06-26,95.5999984741211,95.80000305175781,94.30000305175781,94.80000305175781,899000
2017-06-27,95.0999984741211,95.30000305175781,94.0999984741211,94.0999984741211,813000
2017-06-28,93.69999694824219,93.9000015258789,93.5,93.5,797000
2017-06-29,93.5,95.19999694824219,93.5,94.30000305175781,833000
2017-06-30,93.5,94.4000015258789,93.5,93.80000305175781,243000
2017-07-03,94.19999694824219,94.5999984741211,93.80000305175781,94.19999694824219,403000
2017-07-04,94.19999694824219,94.19999694824219,93.5,93.5,1118000
2017-07-05,93.5,94.80000305175781,93.5,94.5999984741211,962000
2017-07-06,95.0,95.5,94.0,95.30000305175781,2251000
2017-07-07,89.5,89.80000305175781,87.5999984741211,87.69999694824219,2874000
2017-07-10,88.0999984741211,88.30000305175781,86.30000305175781,86.69999694824219,1060000
2017-07-11,86.0999984741211,88.80000305175781,86.0999984741211,88.4000015258789,1034000
2017-07-12,88.4000015258789,88.9000015258789,87.5999984741211,88.4000015258789,704000
2017-07-13,88.4000015258789,89.5,88.0999984741211,89.4000015258789,762000
2017-07-14,89.69999694824219,90.0,88.5,89.5,732000
2017-07-17,91.0999984741211,93.5999984741211,91.0999984741211,91.5,1399000
2017-07-18,92.5,92.69999694824219,90.80000305175781,91.0999984741211,723000
2017-07-19,91.0999984741211,92.19999694824219,91.0999984741211,91.4000015258789,1644000
2017-07-20,92.30000305175781,94.80000305175781,91.5,93.5999984741211,2306000
2017-07-21,94.4000015258789,95.0,93.69999694824219,94.5,1774000
2017-07-24,94.0999984741211,98.0,94.0,97.5999984741211,3391000
2017-07-25,98.5999984741211,98.69999694824219,96.5,98.4000015258789,1713000
2017-07-26,98.5,98.5999984741211,97.0999984741211,97.0999984741211,1337000
2017-07-27,97.69999694824219,98.5,96.5,97.5999984741211,1682000
2017-07-28,97.69999694824219,98.0,95.19999694824219,95.80000305175781,1126000
2017-07-31,95.80000305175781,96.9000015258789,95.0,96.5,878000
2017-08-01,96.80000305175781,99.0,96.30000305175781,98.9000015258789,2524000
2017-08-02,98.9000015258789,99.0,96.9000015258789,97.5,1979000
2017-08-03,97.5,97.5,96.0999984741211,96.0999984741211,1442000
2017-08-04,96.0999984741211,97.30000305175781,95.69999694824219,97.0,1185000
2017-08-07,96.5,98.0,96.5,97.0999984741211,938000
2017-08-08,97.5999984741211,97.5999984741211,95.5999984741211,95.80000305175781,771000
2017-08-09,95.80000305175781,95.80000305175781,94.0,94.0,811000
2017-08-10,93.5,93.9000015258789,90.9000015258789,91.0999984741211,1265000
2017-08-11,90.5,93.0,90.19999694824219,93.0,978000
2017-08-14,94.0,94.19999694824219,90.0,90.0,1309000
2017-08-15,91.30000305175781,92.0,90.0999984741211,91.0,898000
2017-08-16,92.0,92.69999694824219,91.5,92.0,662000
2017-08-17,92.80000305175781,93.30000305175781,92.5,93.19999694824219,639000
2017-08-18,92.4000015258789,92.4000015258789,91.5,91.69999694824219,803000
2017-08-21,91.5,91.5,90.19999694824219,90.19999694824219,1002412
2017-08-22,90.30000305175781,91.69999694824219,89.5999984741211,91.19999694824219,1587720
2017-08-23,91.5999984741211,91.69999694824219,90.5,90.5,1161656
2017-08-24,91.0,92.5,90.80000305175781,91.69999694824219,1414019
2017-08-25,92.5,93.0,91.0999984741211,92.30000305175781,1190288
2017-08-28,92.0999984741211,93.5,91.69999694824219,92.0999984741211,1039000
2017-08-29,92.19999694824219,92.30000305175781,90.80000305175781,90.80000305175781,1039737
2017-08-30,90.9000015258789,92.19999694824219,90.80000305175781,91.5,917721
2017-08-31,92.0999984741211,92.0999984741211,91.0999984741211,91.5999984741211,478677
2017-09-01,91.5999984741211,91.5999984741211,91.0999984741211,91.19999694824219,454724
2017-09-04,93.80000305175781,95.0,92.9000015258789,93.69999694824219,3146700
2017-09-05,93.9000015258789,94.4000015258789,93.0999984741211,93.19999694824219,1206368
2017-09-06,92.80000305175781,93.80000305175781,92.0999984741211,92.19999694824219,1739084
2017-09-07,92.19999694824219,92.5,89.9000015258789,90.0999984741211,2414202
2017-09-08,90.0999984741211,91.5,90.0999984741211,90.5999984741211,1259300
2017-09-11,90.5,91.9000015258789,90.0999984741211,90.30000305175781,1051260
2017-09-12,90.80000305175781,91.19999694824219,90.0,90.0999984741211,722003
2017-09-13,92.0,92.0,90.69999694824219,91.0999984741211,742221
2017-09-14,91.4000015258789,91.4000015258789,90.69999694824219,90.80000305175781,340200
2017-09-15,91.19999694824219,91.19999694824219,90.30000305175781,90.4000015258789,340219
