Date,Open,High,Low,Close,Volume
2016-09-26,160.5,160.5,159.0,159.0,169169
2016-09-27,159.0,159.0,159.0,159.0,0
2016-09-28,159.0,159.0,159.0,159.0,0
2016-09-29,160.0,160.0,159.0,159.0,40100
2016-09-30,159.0,159.5,159.0,159.0,47300
2016-10-03,159.5,160.5,159.0,159.5,42150
2016-10-04,160.0,160.0,159.0,159.0,38100
2016-10-05,159.0,162.5,159.0,161.5,89100
2016-10-06,161.5,161.5,159.5,160.0,74100
2016-10-07,160.0,160.0,159.0,159.0,51100
2016-10-11,159.5,159.5,156.0,158.0,275200
2016-10-12,157.5,157.5,156.5,157.0,91250
2016-10-13,156.5,159.5,156.5,159.0,84298
2016-10-14,158.0,158.0,157.5,157.5,51312
2016-10-17,158.0,159.5,158.0,159.0,125100
2016-10-18,159.0,161.0,158.5,160.5,84200
2016-10-19,161.5,164.0,161.5,163.0,205263
2016-10-20,163.5,163.5,162.0,162.0,45106
2016-10-21,162.0,162.5,162.0,162.0,47024
2016-10-24,162.0,162.5,161.0,162.0,74500
2016-10-25,162.0,162.5,161.0,161.0,92128
2016-10-26,162.0,162.0,160.5,161.5,28000
2016-10-27,161.5,161.5,160.5,161.0,24586
2016-10-28,161.0,161.0,159.5,160.0,69686
2016-10-31,160.0,163.0,159.5,162.0,59111
2016-11-01,162.0,162.5,161.5,162.0,27050
2016-11-02,161.5,161.5,158.5,159.5,101100
2016-11-03,160.0,160.0,156.5,157.5,116300
2016-11-04,157.0,157.0,156.0,156.0,88409
2016-11-07,158.0,158.0,154.5,155.0,106828
2016-11-08,155.5,155.5,152.0,154.0,57100
2016-11-09,155.0,155.0,149.5,150.5,210100
2016-11-10,152.0,158.0,151.5,153.0,93000
2016-11-11,153.0,153.5,150.5,152.5,72000
2016-11-14,151.0,152.0,151.0,151.5,19100
2016-11-15,151.5,152.0,151.5,152.0,11201
2016-11-16,152.0,152.0,148.0,150.5,130000
2016-11-17,151.0,151.0,150.0,150.5,24202
2016-11-18,150.5,152.0,150.0,151.5,21050
2016-11-21,152.5,152.5,150.5,151.0,17090
2016-11-22,152.0,152.0,151.0,151.5,30050
2016-11-23,152.5,152.5,150.5,150.5,22050
2016-11-24,150.5,151.5,150.5,151.5,9055
