code,name,market,yahoo_symbol
1240,茂生農經,上櫃,1240.TWO
1259,安心,上櫃,1259.TWO
1264,德麥,上櫃,1264.TWO
1268,漢來美食,上櫃,1268.TWO
1294,漢田生技,上櫃,1294.TWO
1295,生合,上櫃,1295.TWO
1336,台翰,上櫃,1336.TWO
1565,精華,上櫃,1565.TWO
1569,濱川,上櫃,1569.TWO
1570,力肯,上櫃,1570.TWO
1580,新麥,上櫃,1580.TWO
1584,精剛,上櫃,1584.TWO
1586,和勤,上櫃,1586.TWO
1591,駿吉-KY,上櫃,1591.TWO
1593,祺驊,上櫃,1593.TWO
1595,川寶,上櫃,1595.TWO
1599,宏佳騰,上櫃,1599.TWO
1742,台蠟,上櫃,1742.TWO
1777,生泰,上櫃,1777.TWO
1781,合世,上櫃,1781.TWO
1784,訊聯,上櫃,1784.TWO
1785,光洋科,上櫃,1785.TWO
1788,杏昌,上櫃,1788.TWO
1796,金穎生技,上櫃,1796.TWO
1799,易威,上櫃,1799.TWO
1813,寶利徠,上櫃,1813.TWO
1815,富喬,上櫃,1815.TWO
2035,唐榮,上櫃,2035.TWO
2061,風青,上櫃,2061.TWO
2063,世鎧,上櫃,2063.TWO
2064,晉椿,上櫃,2064.TWO
2065,世豐,上櫃,2065.TWO
2066,世德,上櫃,2066.TWO
2067,嘉鋼,上櫃,2067.TWO
2070,精湛,上櫃,2070.TWO
2073,雄順,上櫃,2073.TWO
2221,大甲,上櫃,2221.TWO
2230,泰茂,上櫃,2230.TWO
2235,謚源,上櫃,2235.TWO
2596,綠意,上櫃,2596.TWO
2640,大車隊,上櫃,2640.TWO
2641,正德,上櫃,2641.TWO
2643,捷迅,上櫃,2643.TWO
2718,全心投控,上櫃,2718.TWO
2719,燦星旅,上櫃,2719.TWO
2724,藝舍-KY,上櫃,2724.TWO
2726,雅茗-KY,上櫃,2726.TWO
2729,瓦城,上櫃,2729.TWO
2732,六角,上櫃,2732.TWO
2734,易飛網,上櫃,2734.TWO
2736,富野,上櫃,2736.TWO
2740,天蔥,上櫃,2740.TWO
2743,山富,上櫃,2743.TWO
2745,五福,上櫃,2745.TWO
2751,王座,上櫃,2751.TWO
2752,豆府,上櫃,2752.TWO
2754,亞洲藏壽司,上櫃,2754.TWO
2755,揚秦,上櫃,2755.TWO
2756,聯發國際,上櫃,2756.TWO
2916,滿心,上櫃,2916.TWO
2924,宏太-KY,上櫃,2924.TWO
2926,誠品生活,上櫃,2926.TWO
2937,集雅社,上櫃,2937.TWO
2941,米斯特,上櫃,2941.TWO
2947,振宇五金,上櫃,2947.TWO
2948,寶陞,上櫃,2948.TWO
2949,欣新網,上櫃,2949.TWO
3064,泰偉,上櫃,3064.TWO
3066,李洲,上櫃,3066.TWO
3067,全域,上櫃,3067.TWO
3071,協禧,上櫃,3071.TWO
3073,天方能源,上櫃,3073.TWO
3078,僑威,上櫃,3078.TWO
3081,聯亞,上櫃,3081.TWO
3083,網龍,上櫃,3083.TWO
3085,新零售,上櫃,3085.TWO
3086,華義,上櫃,3086.TWO
3088,艾訊,上櫃,3088.TWO
3093,港建*,上櫃,3093.TWO
3095,及成,上櫃,3095.TWO
3105,穩懋,上櫃,3105.TWO
3114,好德,上櫃,3114.TWO
3115,富榮綱,上櫃,3115.TWO
3118,進階,上櫃,3118.TWO
3122,笙泉,上櫃,3122.TWO
3128,昇銳,上櫃,3128.TWO
3131,弘塑,上櫃,3131.TWO
3141,晶宏,上櫃,3141.TWO
3147,大綜,上櫃,3147.TWO
3152,璟德,上櫃,3152.TWO
3158,嘉實,上櫃,3158.TWO
3162,精確,上櫃,3162.TWO
3163,波若威,上櫃,3163.TWO
3169,亞信,上櫃,3169.TWO
3171,炎洲流通,上櫃,3171.TWO
3176,基亞,上櫃,3176.TWO
3178,公準,上櫃,3178.TWO
3188,鑫龍騰,上櫃,3188.TWO
3191,雲嘉南,上櫃,3191.TWO
3205,佰研,上櫃,3205.TWO
3206,志豐,上櫃,3206.TWO
3207,耀勝,上櫃,3207.TWO
3211,順達,上櫃,3211.TWO
3213,茂訊,上櫃,3213.TWO
3217,優群,上櫃,3217.TWO
3218,大學光,上櫃,3218.TWO
3219,倚強科,上櫃,3219.TWO
3221,台嘉碩,上櫃,3221.TWO
3224,三顧,上櫃,3224.TWO
3226,龍鋒,上櫃,3226.TWO
3227,原相,上櫃,3227.TWO
3228,金麗科,上櫃,3228.TWO
3230,錦明,上櫃,3230.TWO
3232,昱捷,上櫃,3232.TWO
3234,光環,上櫃,3234.TWO
3236,千如,上櫃,3236.TWO
3252,海灣,上櫃,3252.TWO
3259,鑫創,上櫃,3259.TWO
3260,威剛,上櫃,3260.TWO
3264,欣銓,上櫃,3264.TWO
3265,台星科,上櫃,3265.TWO
3268,海德威,上櫃,3268.TWO
3272,東碩,上櫃,3272.TWO
3276,宇環,上櫃,3276.TWO
3284,太普高,上櫃,3284.TWO
3285,微端,上櫃,3285.TWO
3287,廣寰科,上櫃,3287.TWO
3288,點晶,上櫃,3288.TWO
3289,宜特,上櫃,3289.TWO
3290,東浦,上櫃,3290.TWO
3293,鈊象,上櫃,3293.TWO
3294,英濟,上櫃,3294.TWO
3297,杭特,上櫃,3297.TWO
3303,岱稜,上櫃,3303.TWO
3306,鼎天,上櫃,3306.TWO
3310,佳穎,上櫃,3310.TWO
3313,斐成,上櫃,3313.TWO
3317,尼克森,上櫃,3317.TWO
3322,建舜電,上櫃,3322.TWO
3323,加百裕,上櫃,3323.TWO
3324,雙鴻,上櫃,3324.TWO
3325,旭品,上櫃,3325.TWO
3332,幸康,上櫃,3332.TWO
3339,泰谷,上櫃,3339.TWO
3349,寶德,上櫃,3349.TWO
3354,律勝,上櫃,3354.TWO
3357,臺慶科,上櫃,3357.TWO
3360,尚立,上櫃,3360.TWO
3362,先進光,上櫃,3362.TWO
3363,上詮,上櫃,3363.TWO
3372,典範,上櫃,3372.TWO
3373,熱映,上櫃,3373.TWO
3374,精材,上櫃,3374.TWO
3379,彬台,上櫃,3379.TWO
3388,崇越電,上櫃,3388.TWO
3390,旭軟,上櫃,3390.TWO
3402,漢科,上櫃,3402.TWO
3426,台興,上櫃,3426.TWO
3430,奇鈦科,上櫃,3430.TWO
3434,哲固,上櫃,3434.TWO
3438,類比科,上櫃,3438.TWO
3441,聯一光,上櫃,3441.TWO
3444,利機,上櫃,3444.TWO
3455,由田,上櫃,3455.TWO
3465,進泰電子,上櫃,3465.TWO
3466,德晉,上櫃,3466.TWO
3467,台灣精材,上櫃,3467.TWO
3479,安勤,上櫃,3479.TWO
3483,力致,上櫃,3483.TWO
3484,崧騰,上櫃,3484.TWO
3489,森寶,上櫃,3489.TWO
3490,單井,上櫃,3490.TWO
3491,昇達科,上櫃,3491.TWO
3492,長盛,上櫃,3492.TWO
3498,陽程,上櫃,3498.TWO
3499,環天科,上櫃,3499.TWO
3508,位速,上櫃,3508.TWO
3511,矽瑪,上櫃,3511.TWO
3512,皇龍,上櫃,3512.TWO
3516,亞帝歐,上櫃,3516.TWO
3520,華盈,上櫃,3520.TWO
3521,台鋼建設,上櫃,3521.TWO
3522,御嵿,上櫃,3522.TWO
3523,迎輝,上櫃,3523.TWO
3526,凡甲,上櫃,3526.TWO
3527,聚積,上櫃,3527.TWO
3529,力旺,上櫃,3529.TWO
3531,先益,上櫃,3531.TWO
3537,堡達,上櫃,3537.TWO
3540,曜越,上櫃,3540.TWO
3541,西柏,上櫃,3541.TWO
3546,宇峻,上櫃,3546.TWO
3548,兆利,上櫃,3548.TWO
3551,世禾,上櫃,3551.TWO
3552,同致,上櫃,3552.TWO
3555,博士旺,上櫃,3555.TWO
3556,禾瑞亞,上櫃,3556.TWO
3558,神準,上櫃,3558.TWO
3564,其陽,上櫃,3564.TWO
3567,逸昌,上櫃,3567.TWO
3570,大塚,上櫃,3570.TWO
3577,泓格,上櫃,3577.TWO
3580,友威科,上櫃,3580.TWO
3581,博磊,上櫃,3581.TWO
3587,閎康,上櫃,3587.TWO
3594,磐儀,上櫃,3594.TWO
3597,映興,上櫃,3597.TWO
3609,三一東林,上櫃,3609.TWO
3611,鼎翰,上櫃,3611.TWO
3615,安可,上櫃,3615.TWO
3623,富晶通,上櫃,3623.TWO
3624,光頡,上櫃,3624.TWO
3625,西勝,上櫃,3625.TWO
3628,盈正,上櫃,3628.TWO
3629,地心引力,上櫃,3629.TWO
3630,新鉅科,上櫃,3630.TWO
3631,晟楠,上櫃,3631.TWO
3632,研勤,上櫃,3632.TWO
3646,艾恩特,上櫃,3646.TWO
3663,鑫科,上櫃,3663.TWO
3664,安瑞-KY,上櫃,3664.TWO
3666,光耀,上櫃,3666.TWO
3672,康聯訊,上櫃,3672.TWO
3675,德微,上櫃,3675.TWO
3680,家登,上櫃,3680.TWO
3684,榮昌,上櫃,3684.TWO
3685,元創精密,上櫃,3685.TWO
3687,歐買尬,上櫃,3687.TWO
3689,湧德,上櫃,3689.TWO
